Rank,Nothing,Name,TotalPrice,Nothing,TotalSold,Nothing,MaxPrice,Nothing
300,30075,CORREGGIO Antonio Allegri (c.1489-1534),5 143 679,3 442,3,3,5 143 680,2 264
301,130,BECKMANN Max (1884-1950),5 103 289,11 566 444,207,170,1 343 100,2 819 030
302,223,APPEL Karel (1921-2006),5 040 814,6 600 164,417,449,444 608,663 124
303,585,GUO Runwen (1955),5 008 943,1 753 572,23,14,1 615 950,880 200
304,159,BOLDINI Giovanni (1842-1931),4 964 133,8 860 139,32,26,1 600 000,5 800 000
305,409,DUMAS Marlene (1953),4 925 669,2 873 008,38,77,1 712 000,900 000
306,460,HUANG Shen (1687-c.1770),4 894 224,2 487 309,73,45,772 000,733 000
307,323,QI Gong (1912-2005),4 893 861,3 969 393,70,68,1 134 720,462 105
308,249,PICABIA Francis (1879-1953),4 877 817,5 765 687,94,76,522 873,796 800
309,554,QUINN Marc (1964),4 828 720,1 887 144,67,77,1 000 000,240 420
310,922,DOW Gerrit (1613-1675),4 824 443,968 432,5,5,4 700 000,567 299
311,351,DOGANÇAY Burhan Cahit (1929),4 812 313,3 514 749,77,65,408 668,501 830
312,547,LIU Dawei (1945),4 805 866,1 913 923,95,37,564 480,525 000
313,1413,NICHOLSON Ben (1894-1982),4 795 247,533 713,77,81,1 400 000,112 021
314,214,CASTELLANI Enrico (1930),4 774 058,6 990 702,51,51,570 080,980 880
315,388,DÜRER Albrecht (1471-1528),4 750 866,3 092 024,531,414,545 020,301 440
316,3835,KLINE Franz (1910-1962),4 741 595,130 000,23,4,2 000 000,75 000
317,846,LU Zhi (1496-1576),4 741 121,1 115 321,44,26,2 608 650,443 399
318,797,SHI Guoliang (1956),4 713 541,1 220 049,86,42,370 800,146 700
319,1379,BLUEMNER Oscar Florianus (1867-1938),4 712 450,552 295,16,23,4 700 000,350 000
320,330,ROERICH Nicolaj Konstantinov (1874-1947),4 706 972,3 839 560,19,21,1 200 000,972 304
321,100,POLLOCK Jackson (1912-1956),4 702 604,14 340 116,23,11,1 500 000,7 750 000
322,282,LENG Jun (1963),4 696 597,4 761 369,25,20,2 549 250,4 205 600
323,6149,GU Zhengyi (act.c.1550-1596),4 693 950,64 400,1,1,4 693 950,64 400
324,308,RAUCH Neo (1960),4 680 026,4 210 962,38,30,881 540,900 000
325,730,YANG Shaobin (1963),4 669 728,1 372 064,42,27,617 280,193 349
326,419,WANG Huaiqing (1944),4 654 822,2 787 979,19,8,1 236 800,1 533 603
327,300,VALDÉS Manolo (1942),4 640 203,4 434 373,52,53,611 192,406 998
328,518,WANG Zhen (c.1867-1938),4 587 590,2 043 002,315,206,252 159,249 220
329,241,KOROVIN Konstantin A. (1861-1939),4 577 197,5 903 517,87,93,706 490,1 185 296
330,436,GILBERT & GEORGE (1942/43),4 568 380,2 664 173,45,47,1 300 000,438 508
331,239,LEE Man Fong (1913-1988),4 558 667,5 996 694,84,58,441 462,2 833 600
332,143,CAI Guoqiang (1957),4 534 520,10 328 629,32,35,1 182 520,2 412 800
333,1463,PEPLOE Samuel John (1871-1935),4 520 270,508 273,24,11,1 296 960,347 908
334,1222,CARPEAUX Jean-Baptiste (1827-1875),4 512 485,650 088,135,96,1 085 448,47 982
335,37624,MICHELANGELO (1475-1564),4 502 257,1 931,4,3,4 502 120,890
336,457,DONG Bangda (1699-1769),4 489 239,2 497 217,38,27,1 581 000,1 082 160
337,512,FILLA Emil (1882-1953),4 449 196,2 080 178,66,39,844 012,918 937
338,,DAI Cang (XVII),4 406 100,,1,,4 406 100,
339,35,JOHNS Jasper (1930),4 382 413,40 882 960,136,158,1 250 000,25 500 000
340,762,YEATS Jack Butler (1871-1957),4 360 095,1 293 807,58,106,1 355 900,464 986
341,260,SHEN Quan (1682-c.1762),4 303 865,5 384 483,80,32,540 050,4 208 400
342,274,OFILI Chris (1968),4 294 212,4 909 988,29,30,2 000 000,2 486 715
343,901,NAY Ernst Wilhelm (1902-1968),4 277 668,1 017 484,99,92,1 060 650,333 450
344,332,ROCKWELL Norman Perceval (1894-1978),4 274 635,3 796 977,75,59,1 200 000,910 000
345,525,PALERMO Blinky (1943-1977),4 248 534,2 000 289,45,27,2 397 150,1 499 712
346,310,LIEBERMANN Max (1847-1935),4 239 053,4 200 395,203,193,1 209 150,447 328
347,506,GOTTLIEB Adolph (1903-1974),4 226 341,2 133 800,52,39,1 300 000,380 000
348,536,ZHENG Wuchang (1894-1952),4 225 054,1 953 911,88,101,634 680,165 220
349,270,SOTO Jesús Rafael (1923-2005),4 224 433,4 983 940,79,90,440 000,630 000
350,610,BOYD Arthur (1920-1999),4 223 469,1 676 307,111,49,1 042 000,644 984
351,727,DING Yanyong (1902-1978),4 214 437,1 378 818,186,71,556 560,219 129
352,640,ZHA Shibiao (1615-1698),4 189 261,1 599 334,45,27,2 521 600,300 000
353,243,MASSON André (1896-1987),4 187 205,5 833 963,298,233,725 490,2 733 060
354,608,LHOTE André (1885-1962),4 169 124,1 681 983,174,125,2 200 000,192 127
355,480,LI Shan (1686-1762),4 164 035,2 378 752,69,41,552 300,439 800
356,131,FESHIN Nikolay (1881-1955),4 162 580,11 495 087,20,22,2 900 000,9 041 620
357,216,BOUDIN Eugène (1824-1898),4 157 765,6 856 260,114,103,280 000,1 157 286
358,574,LE SIDANER Henri (1862-1939),4 153 704,1 783 847,47,36,725 000,760 000
359,470,WANG Xijing (1946),4 125 555,2 418 710,138,60,348 680,1 204 000
360,349,MAN RAY (1890-1976),4 123 549,3 528 094,326,306,720 000,1 733 160
361,285,LEBASQUE Henri Baptiste (1865-1937),4 110 798,4 735 933,106,96,850 000,700 000
362,740,KELLEY Mike (1954),4 091 012,1 355 266,36,24,850 000,390 550
363,466,GRIGORJEFF Boris Dimitrevitch (1886-1939),4 067 499,2 448 598,25,29,1 100 000,795 960
364,57034,VELASQUEZ Diego (1599-1660),4 061 720,458,1,2,4 061 720,344
365,26,KLEIN Yves (1928-1962),4 048 147,47 518 821,57,84,1 097 652,11 000 000
366,659,SUDJOJONO Sindutomo (1913-1986),4 028 129,1 564 369,27,10,745 880,1 160 099
367,116,KIPPENBERGER Martin (1953-1997),4 004 352,12 395 979,86,93,1 809 180,3 523 725
368,290,HARTUNG Hans (1904-1989),3 998 300,4 679 301,246,290,264 375,1 003 800
369,361,CHRISTO (1935),3 994 209,3 394 098,351,387,258 720,172 523
370,426,CHEN Yanning (1945),3 954 156,2 741 569,20,13,882 560,633 360
371,667,FRINK Elisabeth (1930-1993),3 943 214,1 535 911,140,101,380 976,240 510
372,800,KUN CAN (1612-1692),3 934 231,1 215 669,22,15,2 331 000,586 170
373,345,CÉSAR (1921-1998),3 932 352,3 601 193,329,343,299 964,334 296
374,537,LIU Kuiling (1885-1967),3 929 694,1 948 937,51,63,1 138 320,322 740
375,48,RAUSCHENBERG Robert (1925-2008),3 906 019,31 630 521,288,285,799 050,9 800 000
376,5422,HONG Ren (1610-1663),3 893 187,78 084,7,3,2 518 400,42 084
377,442,DIX Otto (1891-1969),3 884 715,2 617 991,242,188,326 835,679 834
378,507,GOYA Y LUCIENTES Francisco (1746-1828),3 876 602,2 119 879,297,258,3 215 800,1 135 800
379,5223,YANG Dazhang (act.c.1771-1791),3 873 450,82 775,1,1,3 873 450,82 775
380,8172,KABAKOV Ilya (1933),3 872 581,40 869,27,13,2 114 970,23 038
381,333,KISLING Moïse (1891-1953),3 860 987,3 791 199,112,88,472 951,370 000
382,20798,SCHÄUFELEIN Hans Leonhard (c.1480-c.1540),3 860 650,7 742,7,4,3 857 760,7 546
383,91369,CATLIN George (1796-1872),3 837 840,0,25,1,1 300 000,0
384,586,HERBIN Auguste (1882-1960),3 800 469,1 750 222,86,57,450 000,384 254
385,264,MATHIEU Georges (1921),3 796 773,5 215 530,135,126,385 667,336 270
386,655,BROWN Cecily (1969),3 794 599,1 568 827,15,13,702 416,900 000
387,389,BRUEGHEL Jan I (1568-1625),3 775 475,3 086 020,11,5,1 600 000,2 124 360
388,1326,LIN Sanzhi (1898-1989),3 749 738,585 559,45,16,1 517 000,220 050
389,576,KONCHALOVSKY Piotr Petrovich (1876-1956),3 730 644,1 778 285,22,23,1 205 100,1 169 700
390,1077,GRIGORESCU Nicolas Jon (1838-1907),3 707 565,772 802,32,13,390 042,233 222
391,478,XIANG Shengmo (1597-1658),3 692 122,2 380 068,27,19,1 260 800,952 900
392,391,MÜNTER Gabriele (1877-1962),3 670 370,3 076 088,40,32,527 040,387 264
393,558,TAO Lengyue (1895-1985),3 661 864,1 863 020,91,95,316 200,141 680
394,563,LU Yifei (1908-1997),3 657 278,1 847 937,95,61,614 400,423 080
395,150,NI Zan (1301-1374),3 653 086,9 595 991,18,13,2 371 500,5 869 500
396,539,NAUMAN Bruce (1941),3 643 364,1 944 525,34,37,2 630 495,1 000 000
397,230,SCULLY Sean (1946),3 642 253,6 351 696,72,60,607 278,979 615
398,404,FLAVIN Dan (1933-1996),3 630 612,2 909 987,18,25,1 450 000,1 200 000
399,206,YIN Zhaoyang (1970),3 618 630,7 144 133,44,43,386 250,1 477 840
400,,FLINCK Govaert (1615-1660),3 604 979,,5,,3 198 615,
401,431,FENG Zikai (1898-1975),3 592 753,2 711 147,141,136,269 450,375 750
402,142,PARRISH Maxfield Frederick (1870-1966),3 585 095,10 405 642,22,44,2 500 000,4 600 000
403,755,RAY Charles (1953),3 580 000,1 304 113,7,4,2 700 000,800 000
404,607,RIVERA Diego (1886-1957),3 578 772,1 692 962,67,52,825 000,550 000
405,106,RAZA Sayed Haider (1922),3 569 295,13 583 635,71,112,461 300,3 047 520
406,331,BRACK John Cecil (1920-1999),3 560 836,3 816 271,45,19,1 232 040,1 568 880
407,663,TING Walasse (1929-2010),3 559 576,1 551 238,174,137,226 904,135 240
408,406,WILLIAMS Frederick Ronald (1927-1982),3 553 314,2 894 253,41,33,872 695,876 748
409,965,BELLOWS George Wesley (1882-1925),3 548 455,919 520,47,97,3 400 000,350 000
410,,LU Zhi & CAI Yu (XVI),3 546 000,,1,,3 546 000,
411,509,CARLEVARIS Luca (1663/65-1729/31),3 500 000,2 100 000,2,3,3 500 000,1 600 000
412,916,CARTIER-BRESSON Henri (1908-2004),3 493 222,977 898,269,271,493 920,33 765
413,467,VALTAT Louis (1869-1952),3 491 169,2 441 765,196,162,386 928,210 000
414,495,GODWARD John William (1861-1922),3 488 941,2 220 937,12,13,800 000,620 000
415,207,NOGUCHI Isamu (1904-1988),3 477 000,7 110 000,20,6,900 000,3 700 000
416,1872,RUSSELL Charles Marion (1864-1926),3 475 980,367 050,35,14,1 300 000,75 000
417,513,ARCHIPENKO Alexander (1887-1964),3 474 461,2 067 224,52,56,1 500 000,375 000
418,377,ZHANG Shanzi (1882-1940),3 470 273,3 258 542,116,136,449 050,220 050
419,273,ZHAO Mengfu (1254-1322),3 448 211,4 951 954,44,19,1 554 000,1 625 799
420,4165,ROBERTS William P. (1895-1980),3 440 093,115 012,22,6,670 924,39 495
421,445,MAO Xuhui (1956),3 412 787,2 606 726,40,27,548 830,1 288 999
422,753,JIAN Jiang (1610-1664),3 404 243,1 309 656,14,4,1 198 080,871 739
423,265,ZHAO Wangyun (1906-1977),3 398 534,5 160 663,30,33,492 480,2 111 200
424,611,HE Duoling (1948),3 384 241,1 672 492,30,19,714 840,450 600
425,483,FENG Chaoran (1882-1954),3 374 638,2 361 175,138,106,551 600,399 589
426,618,AVERY Milton Clark (1885-1965),3 366 184,1 650 500,80,68,1 200 000,410 000
427,251,HOMER Winslow (1836-1910),3 345 000,5 728 200,13,11,1 100 000,2 500 000
428,1297,WRIGHT OF DERBY Joseph (1734-1797),3 339 404,601 489,5,4,2 030 860,392 704
429,729,OEHLEN Albert (1954),3 337 392,1 374 160,21,22,580 000,416 208
430,420,WALDE Alfons (1891-1958),3 323 154,2 782 027,26,36,708 700,279 160
431,417,SUGIMOTO Hiroshi (1948),3 304 343,2 791 409,140,138,380 000,300 000
432,134,SOUZA Francis Newton (1924-2002),3 298 383,11 271 128,157,233,235 000,1 200 000
433,357,AKYAVAS Erol (1932-1999),3 253 233,3 440 817,19,34,741 382,1 368 671
434,2084,SU Xinping (1960),3 250 274,315 263,22,20,2 926 000,106 724
435,180,LANG Shih-Ning (1688-1766),3 249 289,7 858 917,24,19,1 169 940,4 104 800
436,562,BENTON Thomas Hart (1889-1975),3 246 662,1 851 563,207,118,1 600 000,1 300 000
437,1087,GOBER Robert (1954),3 230 715,765 474,17,18,2 950 000,380 000
438,317,RUYSDAEL van Salomon (c.1602-1670),3 230 163,4 106 872,18,5,859 210,2 900 000
439,328,LI Shan (1942),3 218 458,3 857 253,32,24,630 400,1 206 400
440,900,BENOIS Alexandre (1870-1960),3 215 202,1 022 883,187,84,302 659,93 821
441,527,LANSKOY André (1902-1976),3 210 617,1 998 470,219,178,185 692,199 980
442,228,PIERNEEF Jacob Hendrik (1886-1957),3 188 913,6 385 926,155,127,1 390 800,981 336
443,1611,XUE Liang (1956),3 187 666,449 751,37,23,913 500,124 610
444,1020,BIÉLER Ernest (1863-1948),3 183 852,839 165,40,32,1 012 605,421 439
445,684,ZHANG Ding (1917-2010),3 180 173,1 486 468,56,33,309 000,241 440
446,370,ROUAULT Georges (1871-1958),3 173 158,3 319 057,239,256,370 000,338 512
447,2032,LU Chen (1935-2004),3 164 224,326 053,61,26,1 359 600,34 569
448,3559,XU Bangda (1911),3 156 338,144 809,34,15,1 312 400,23 584
449,736,BARYE Antoine Louis (1796-1875),3 155 584,1 360 296,291,233,876 708,92 791
450,1690,SHEN Shichong (XVII),3 152 720,421 554,2,6,2 566 000,347 760
451,439,MUNIZ Vik (1961),3 152 445,2 641 989,83,104,175 000,210 000
452,4002,TOMASELLI Fred (1956),3 152 000,121 500,15,6,1 400 000,55 000
453,421,LIU Jiyou (1918-1983),3 147 838,2 776 671,118,94,324 240,422 240
454,144,XIA Chang (1388-1470),3 139 207,10 269 375,11,3,1 233 180,7 769 800
455,210,MARQUET Albert (1875-1947),3 109 769,7 031 748,202,1 147,510 120,1 350 000
456,1130,VAREJAO Adriana (1964),3 108 470,725 994,5,3,1 527 980,500 000
457,319,MÜBIN Orhon (1924-1981),3 093 570,4 043 395,34,82,686 180,770 667
458,994,ZHANG Peili (1957),3 086 399,882 450,4,2,2 572 000,616 230
459,415,XU Gu (1823/24-1896),3 082 449,2 821 517,50,49,770 770,676 350
460,2117,SIEMIRADZKI Henryk Ippolitovich (1843-1902),3 074 503,307 581,5,6,1 800 000,143 880
461,359,RUBIN Reuven (1893-1974),3 074 290,3 398 512,76,76,460 000,350 000
462,374,GORKY Arshile (1904-1948),3 065 400,3 272 315,14,15,750 000,3 200 000
463,352,SERRA Richard (1939),3 060 420,3 468 886,47,61,2 000 000,1 700 000
464,298,SHI Chong (1963),3 059 574,4 471 236,9,12,2 008 500,3 418 110
465,,COORTE Adriaen (act.c.1685-1720),3 051 960,,2,,2 811 960,
466,1448,SAVILLE Jenny (1970),3 049 749,514 575,6,5,2 090 920,304 152
467,320,ROBERT Hubert (1733-1808),3 029 643,4 028 270,46,59,642 960,1 666 125
468,423,POMODORO Arnaldo (1926),3 028 274,2 753 179,100,98,660 744,473 480
469,327,SCHMIDT-ROTTLUFF Karl (1884-1976),3 001 109,3 939 062,145,115,537 240,1 700 000
470,22199,ZHOU Yansheng (1942),2 999 234,6 774,22,6,923 400,3 240
471,892,LIPCHITZ Jacques (1891-1973),2 962 721,1 039 602,48,31,741 930,750 000
472,754,RONDINONE Ugo (1964),2 947 589,1 309 584,26,16,718 380,452 220
473,364,CORINTH Lovis (1858-1925),2 941 937,3 362 203,288,263,838 344,1 112 775
474,412,LI Guijun (1964),2 932 186,2 845 495,19,11,584 970,615 820
475,1178,MAO Yan (1968),2 924 285,683 907,22,16,1 206 660,124 695
476,634,RILEY Bridget (1931),2 922 247,1 618 983,53,49,1 202 100,557 738
477,167,IACOVLEFF Alexander Evgenevich (1887-1938),2 919 486,8 566 458,90,99,1 150 100,3 180 540
478,321,REDON Odilon (1840-1916),2 918 975,4 010 675,77,83,601 818,2 788 800
479,1102,GUYTON Wade (1972),2 902 774,755 484,19,10,537 306,250 000
480,482,ZHAN Wang (1962),2 899 056,2 367 302,27,17,488 300,683 169
481,381,SMART Frank Jeffrey Edson (1921),2 873 275,3 189 366,28,20,876 165,697 280
482,276,NOLAN Sidney Robert (1917-1992),2 871 033,4 874 098,177,117,401 735,4 103 100
483,686,LIGON Glenn (1960),2 855 224,1 485 200,20,10,980 000,360 000
484,383,CHEN Zizhuang (1913-1976),2 852 582,3 180 210,114,131,442 680,340 170
485,12774,ZHU Lunhan (1680-1760),2 844 942,19 356,7,4,2 782 800,18 036
486,738,GAO Fenghan (1683-1748),2 839 137,1 356 334,41,32,957 280,537 645
487,324,FLANAGAN Barry (1941-2009),2 838 596,3 968 328,19,32,611 192,946 308
488,444,REMINGTON Frederic Sackrider (1861-1909),2 825 538,2 612 547,40,41,1 400 000,900 000
489,1273,YANG Zhiguang (1930),2 817 334,615 564,62,39,1 530 000,75 550
490,410,SAINT-PHALLE de Niki (1930-2002),2 811 992,2 866 061,274,226,240 948,463 420
491,437,FRANKENTHALER Helen (1928-2011),2 807 446,2 644 410,54,49,680 000,350 000
492,,CHURCH Frederic Edwin (1826-1900),2 800 000,,1,,2 800 000,
493,750,DING Yunpeng (1547-c.1628),2 798 365,1 312 062,27,12,1 459 199,1 148 940
494,648,CHEN Dayu (1912-2001),2 789 583,1 579 717,173,121,232 200,331 100
495,376,CHADWICK Lynn Russell (1914-2003),2 772 961,3 260 955,121,154,480 000,315 960
496,458,HUNDERTWASSER Friedensreich (1928-2000),2 771 938,2 493 455,319,315,287 658,293 139
497,244,SHISHKIN Ivan Ivanovitch (1832-1898),2 751 441,5 833 846,13,21,1 603 295,2 494 240
498,552,HODGES Jim (1957),2 744 100,1 902 934,14,7,950 000,1 800 000
499,2849,MERZ Mario (1925-2003),2 716 874,200 356,18,18,1 987 735,85 000
500,571,YAN Pei-Ming (1960),2 706 449,1 798 464,21,18,707 696,386 400
