A,B,C,D,E,F,G,H
279,711 BOSSCHAERT Ambrosius I (1573-1621),"4,054,586","1,600,000",1,1,"4,054,586","1,600,000"
280,15759 CARPI da Girolamo (1501-1556),"4,039,054","12,522",2,2,"4,024,350","8,500"
281,393 SHARP Joseph Henry (1859-1953),"4,038,500","3,300,000",21,29,"1,300,000","240,000"
282,TIZIANO VECELLIO  (1485/89-1576),"4,000,000",,1,,"4,000,000",
283,273 ROTELLA Mimmo (1918-2006),"3,989,256","5,021,684",149,139,"380,578","631,346"
284,938 TINGUELY Jean (1925-1991),"3,958,068","1,091,341",137,63,"1,834,020","115,370"
285,250 OEHLEN Albert (1954),"3,945,426","5,528,335",27,31,"377,720","460,000"
286,226 PENN Irving (1917),"3,920,434","6,293,238",76,132,"440,000","338,674"
287,375 PIERNEEF Jacob Hendrik (1886-1957),"3,897,743","3,549,244",74,53,"1,267,272","364,520"
288,420 TORRES GARCIA Joaquin (1874-1949),"3,889,130","3,122,784",31,22,"1,500,000","1,100,000"
289,306 VALLOTTON Félix (1865-1925),"3,874,973","4,285,750",48,57,"766,720","480,000"
290,384 ROUAULT Georges (1871-1958),"3,870,914","3,466,939",137,83,"720,000","555,996"
291,31 REMBRANDT VAN RIJN  (1606-1669),"3,867,543","36,488,186",344,315,"530,775","23,000,000"
292,147 LOUIS Morris (1912-1962),"3,855,000","9,330,732",6,10,"1,800,000","2,550,000"
293,451 FRINK Elizabeth (1930-1993),"3,850,261","2,868,626",85,71,"371,051","589,222"
294,225 CHEN Chengbo (1895-1947),"3,846,000","6,310,890",1,4,"3,846,000","5,787,000"
295,1248 TANAVOLI Parviz (1937),"3,833,720","746,923",9,5,"2,500,000","280,000"
296,288 WITTEL van Gaspar (1653-1736),"3,832,027","4,608,628",4,5,"1,776,330","3,506,420"
297,MACKINTOSH Margaret (1865-1933),"3,805,440",,2,,"2,973,000",
298,659 GOBER Robert (1954),"3,800,762","1,791,324",15,10,"3,200,000","620,000"
299,317 LU Yanshao (1909-1993),"3,796,005","4,179,040",89,68,"279,110","504,647"
300,673 GROTJAHN Mark (1968),"3,783,798","1,727,974",13,7,"1,050,000","800,000"
301,776 KRASNER Lee (1908-1984),"3,746,000","1,406,300",5,5,"2,800,000","950,000"
302,297 CHADWICK Lynn Russell (1914-2003),"3,741,843","4,412,817",77,66,"659,256","850,000"
303,818 CORINTH Lovis (1858-1925),"3,729,835","1,309,372",98,37,"671,112","443,730"
304,307 REINHARDT Ad (1913-1967),"3,721,844","4,276,000",9,5,"2,100,000","2,300,000"
305,245 LEWITT Sol (1928-2007),"3,691,199","5,717,837",168,122,"640,000","750,000"
306,551 EXTER Alexandra Alexandrov (1882-1949),"3,650,948","2,266,450",17,28,"1,163,008","490,575"
307,141 MAKOVSKIJ Konstantin Egorovic (1839-1915),"3,649,169","9,539,045",16,20,"1,215,820","3,713,760"
308,244 WESTON Edward Henry (1886-1958),"3,615,663","5,721,262",86,79,"1,285,000","950,000"
309,213 CONDO George (1957),"3,600,175","6,659,157",42,65,"900,000","600,000"
310,601 MAKOVSKI Vladimir Egorovitch (1846-1920),"3,583,458","2,049,728",19,20,"1,716,950","394,120"
311,153 WOOL Christopher (1955),"3,554,674","9,115,984",19,21,"758,252","1,588,560"
312,1222 VASSILIEV Oleg (1931),"3,551,929","771,079",17,8,"803,480","264,121"
313,440 DOMINGUEZ Oscar (1906-1957),"3,541,296","2,956,888",29,44,"2,558,920","638,685"
314,732 PARRISH Maxfield Frederick (1870-1966),"3,519,040","1,543,275",17,11,"2,500,000","1,000,000"
315,696 HERRING John Frederick I (1795-1865),"3,507,669","1,639,236",21,19,"1,086,855","436,364"
316,208 BOGOLJUBOFF Alexei Petrovich (1824-1896),"3,499,407","6,809,487",9,19,"1,025,024","2,898,420"
317,484 VEDOVA Emilio (1919-2006),"3,463,868","2,692,397",69,42,"993,321","742,100"
318,183 LE SIDANER Henri (1862-1939),"3,453,713","7,597,574",33,34,"850,000","1,528,989"
319,BARTOLO di Taddeo (1362/63-1422),"3,426,826",,3,,"3,256,605",
320,326 MUSIC Zoran Antonio (1909-2005),"3,408,121","4,013,583",181,82,"260,000","1,761,600"
321,516 BRAUNER Victor (1903-1966),"3,399,909","2,515,966",36,44,"850,000","580,000"
322,678 SMITH David (1906-1965),"3,399,000","1,696,493",15,21,"2,100,000","400,000"
323,11455 GUO Bochuan (1901-1974),"3,396,381","24,184",2,1,"3,114,341","24,184"
324,180 CHARLAMOFF Alexei Alexeivich (1842-1922/25),"3,393,207","7,700,967",12,26,"965,888","2,800,000"
325,257 RUBIN Reuven (1893-1974),"3,373,575","5,417,899",64,70,"520,000","340,000"
326,329 ANISFELD Boris Israelewitsch (1879-1973),"3,307,084","3,948,818",32,22,"597,200","825,000"
327,294 SCHIFANO Mario (1934-1998),"3,294,213","4,435,889",186,197,"242,186","331,246"
328,402 FRANKENTHALER Helen (1928),"3,292,237","3,225,032",47,34,"650,000","520,000"
329,552 LI Shan (1942),"3,289,126","2,266,002",28,38,"758,680","362,610"
330,1744 SUWAGE Agus (1959),"3,280,610","470,537",53,15,"249,491","75,625"
331,365 DORAZIO Piero (1927-2005),"3,274,623","3,661,153",161,145,"268,056","252,035"
332,790 YE Yongqing (1958),"3,256,980","1,373,006",48,33,"243,580","110,176"
333,493 JACKSON Alexander Young (1882-1974),"3,256,706","2,664,585",55,59,"529,515","462,510"
334,4249 KOCH Anton Joseph (1768-1839),"3,255,671","126,663",3,3,"3,251,671","88,746"
335,196 NICHOLSON Ben (1894-1982),"3,249,330","7,118,147",53,61,"669,256","980,000"
336,764 LEWIS John Frederick (1805-1876),"3,240,055","1,427,808",8,5,"1,694,900","982,079"
337,303 TIEPOLO Giovanni Domenico (1727-1804),"3,238,417","4,295,254",27,28,"927,129","2,352,555"
338,405 CHILLIDA Eduardo (1924-2002),"3,229,458","3,212,712",151,75,"827,568","1,389,990"
339,235 TENIERS David II (1610-1690),"3,221,654","6,051,671",8,30,"1,578,960","766,574"
340,1011 KIM Dong-Yoo (1965),"3,203,621","988,620",17,3,"576,520","527,260"
341,5742 EAKINS Thomas Cowperthwait (1844-1916),"3,199,000","78,000",6,2,"1,700,000","65,000"
342,247 BALLA Giacomo (1871-1958),"3,181,406","5,677,188",34,26,"900,508","3,500,000"
343,359 UFAN Lee (1936),"3,149,073","3,706,788",16,9,"970,200","1,700,000"
344,1320 MOORE Albert Joseph (1841-1893),"3,142,899","693,050",3,2,"3,035,985","598,050"
345,912 ZHAN Wang (1962),"3,135,897","1,134,506",24,9,"498,500","280,000"
346,909 FALK Robert Rafaelovich (1886-1958),"3,126,236","1,139,437",13,9,"1,616,384","600,000"
347,896 UFER Walter (1876-1936),"3,121,000","1,160,000",5,6,"1,300,000","390,000"
348,479 SERRA Richard (1939),"3,120,518","2,732,401",29,23,"1,400,000","1,300,000"
349,369 LARSSON Carl Olof (1853-1919),"3,114,723","3,621,681",38,29,"1,439,900","1,022,700"
350,388 KISLING Moïse (1891-1953),"3,082,819","3,385,799",58,61,"334,917","230,000"
351,67 ROCKWELL Norman Perceval (1894-1978),"3,080,496","21,552,951",35,46,"900,000","5,250,000"
352,1071 KOKOSCHKA Oskar (1886-1980),"3,047,387","921,009",87,55,"1,122,810","121,095"
353,467 SOTO Jesús Rafael (1923-2005),"3,043,715","2,800,889",57,45,"400,000","240,000"
354,78 LEE U-Fan (1936),"3,041,211","18,837,220",23,113,"990,000","1,900,800"
355,1354 MOSHIRI Farhad (1963),"3,041,199","668,677",7,4,"900,000","500,000"
356,456 RAMOS Mel (1935),"3,006,728","2,838,403",64,40,"689,640","756,428"
357,604 GUO Wei (1960),"2,999,111","2,039,109",42,41,"273,790","495,360"
358,396 SCHNABEL Julian (1951),"2,995,827","3,283,065",33,28,"425,000","400,000"
359,"18610 KUINDZHI Arkhip Ivanovich (c,1842-1910)","2,994,080","8,761",2,1,"2,700,000","8,761"
360,132 BARCELO Miquel (1957),"2,981,061","10,287,845",25,41,"588,660","1,424,423"
361,756 GROSZ George (1893-1959),"2,972,937","1,457,696",100,83,"512,538","280,000"
362,223 AMIET Cuno (1868-1961),"2,965,497","6,452,473",128,87,"478,268","828,900"
363,448 AFFANDI  (1907-1990),"2,955,820","2,883,170",29,47,"360,360","220,000"
364,263 STRUTH Thomas (1954),"2,953,426","5,326,888",33,41,"760,000","900,000"
365,621 MANGOLD Robert (1937),"2,948,730","1,944,223",30,13,"800,000","650,000"
366,704 MUNIZ Vik (1961),"2,947,431","1,618,242",59,44,"139,545","140,000"
367,"2477 VELDE van de Esaias I (c,1587-c,1630)","2,943,236","287,484",11,2,"2,600,000","245,484"
368,1087 XIANG Jing (1968),"2,917,818","905,451",28,15,"408,953","340,600"
369,1552 EGGLESTON William (1939),"2,916,240","552,130",70,26,"840,000","90,000"
370,139 KAWARA On (1932),"2,914,117","9,723,683",8,14,"1,800,000","2,100,000"
371,519 WANG Yuanqi (1642-1715),"2,908,326","2,507,635",8,14,"1,168,020","716,943"
372,1355 TINTORETTO Jacopo Robusti (1518-1594),"2,904,947","668,220",4,5,"2,763,180","332,525"
373,466 POLENOV Vasili Dimitrevich (1844-1927),"2,895,245","2,801,866",8,8,"1,343,700","1,279,184"
374,755 ROUSSEAU Henri Émilien (1875-1933),"2,891,255","1,461,124",24,26,"518,440","675,450"
375,523 WALDE Alfons (1891-1958),"2,882,534","2,470,900",37,33,"391,925","399,357"
376,468 CASSIGNEUL Jean-Pierre (1935),"2,869,625","2,788,380",115,70,"130,000","200,000"
377,412 BEUYS Joseph (1921-1986),"2,861,719","3,181,939",239,116,"900,000","648,219"
378,230 LUCE Maximilien (1858-1941),"2,861,480","6,203,541",182,187,"1,300,479","2,500,000"
379,YI Jung Sup (1916-1956),"2,852,505",,5,,"1,650,000",
380,LA TOUR de Georges (1593-1652),"2,850,000",,1,,"2,850,000",
381,283 HENRY Paul (1876-1958),"2,832,882","4,796,339",26,36,"274,764","439,800"
382,"444 CARR Emily M, (1871-1945)","2,822,017","2,915,717",16,16,"732,420","529,920"
383,613 MUÑOZ Juan (1953-2001),"2,812,098","1,986,544",12,9,"591,120","568,876"
384,958 FAIBISOVICH Simon (1949),"2,805,570","1,068,376",14,5,"497,000","528,242"
385,480 LAM Wifredo (1902-1982),"2,784,646","2,730,674",78,62,"600,000","850,000"
386,2149 EHSAI Mohammad (1939),"2,781,702","347,573",14,4,"1,000,000","179,573"
387,460 RALLI Théodore Scaramanga (1852-1909),"2,768,215","2,833,745",12,10,"1,172,760","1,321,792"
388,462 BUTTERSWORTH James Edward (1817-1894),"2,754,970","2,819,978",13,21,"1,625,970","600,000"
389,812 KOEKKOEK Barend Cornelis (1803-1862),"2,699,301","1,324,932",28,11,"516,078","269,880"
390,431 SIRONI Mario (1885-1961),"2,692,019","3,012,781",76,83,"513,520","944,440"
391,"130 HARRIS Lawren Stewart H, (1885-1970)","2,682,359","10,463,229",34,32,"1,421,820","2,304,000"
392,476 HERBIN Auguste (1882-1960),"2,665,525","2,745,591",39,47,"492,525","600,000"
393,994 FARNY Henry Francis (1847-1916),"2,660,000","1,014,850",6,4,"1,200,000","950,000"
394,110 GOGH van Vincent (1853-1890),"2,650,992","12,693,296",5,11,"1,485,520","4,400,000"
395,337 KUMAR Ram (1924),"2,650,909","3,876,228",21,41,"1,000,000","280,000"
396,450 POMODORO Arnaldo (1926),"2,639,885","2,872,200",64,71,"449,774","420,000"
397,1958 SILVA Francis Augustus (1835-1886),"2,635,000","395,000",5,2,"2,300,000","325,000"
398,269 POKHITONOV Ivan Pavlovich (1851-1924),"2,627,186","5,143,815",31,42,"380,000","412,640"
399,858 VIEIRA DA SILVA Maria Elena (1908-1992),"2,621,153","1,232,662",45,46,"707,130","248,203"
400,318 SCOTT William (1913-1989),"2,603,037","4,163,045",40,48,"1,796,668","800,085"
401,742 LING Jian (1963),"2,602,980","1,514,939",22,12,"273,790","230,180"
402,28998 LOPEZ GARCIA Antonio (1936),"2,589,622","2,842",3,1,"2,394,480","2,842"
403,370 CAMPIGLI Massimo (1895-1971),"2,587,445","3,617,084",60,52,"326,046","443,421"
404,419 ARCHIPENKO Alexander (1887-1964),"2,572,845","3,122,905",49,28,"260,000","1,300,000"
405,251 LHOTE André (1885-1962),"2,570,322","5,522,055",92,111,"295,515","2,400,000"
406,978 HUANG Gang (1961),"2,568,757","1,028,474",36,23,"300,000","120,920"
407,219 LARIONOV Mikhail (1881-1964),"2,567,475","6,538,448",23,29,"1,791,600","3,941,200"
408,347 LAURENCIN Marie (1883-1956),"2,550,844","3,772,896",159,125,"159,618","264,911"
409,1464 SAVILLE Jenny (1970),"2,534,769","605,419",4,8,"914,250","407,340"
410,543 ZHANG Huan (1965),"2,530,265","2,300,652",45,45,"320,000","358,072"
411,327 ISRAELS Isaac Lazarus (1865-1934),"2,523,763","4,009,494",36,37,"307,534","489,024"
412,319 LE MAYEUR DE MERPRES Adrien Jean (1880-1958),"2,522,698","4,150,268",18,25,"572,021","1,917,000"
413,602 QI Zhilong (1962),"2,504,871","2,043,025",24,26,"436,559","209,600"
414,501 ESTEVE Maurice (1904-2001),"2,496,876","2,610,390",77,54,"488,777","553,137"
415,2093 ANDERSSON Karin Mamma (1962),"2,495,458","359,127",16,5,"848,045","129,443"
416,625 ZUÑIGA Francisco (1912-1998),"2,494,547","1,929,795",57,68,"1,035,000","800,000"
417,339 SAURA Antonio (1930-1998),"2,490,101","3,864,321",66,61,"536,760","906,476"
418,884 GONZALEZ Julio (1876-1942),"2,489,553","1,191,152",26,11,"923,879","900,000"
419,"630 PENCK A,R, (1939)","2,484,190","1,914,769",151,97,"353,196","427,980"
420,"1173 TERPNING Howard A, (1927)","2,475,585","810,000",13,5,"775,000","520,000"
421,611 RABINE Oskar (1928),"2,470,388","2,002,279",32,28,"280,000","280,000"
422,346 LAWRENCE Thomas (1769-1830),"2,466,623","3,814,411",11,17,"1,086,415","2,118,165"
423,195 GRIMSHAW John Atkinson (1836-1893),"2,464,149","7,172,522",13,28,"588,120","913,320"
424,299 YANG Feiyun (1954),"2,462,550","4,320,338",8,15,"735,630","705,640"
425,800 OLDENBURG Claes Thure (1929),"2,449,154","1,349,153",62,44,"1,500,000","600,000"
426,435 SEREBRJAKOWA Sinaida Jewgenewna (1884-1967),"2,448,812","2,990,901",13,15,"1,852,928","1,031,600"
427,596 PAN Dehai (1956),"2,443,698","2,063,466",24,22,"282,040","678,500"
428,366 NEVELSON Louise (1900-1988),"2,436,714","3,657,260",51,46,"530,000","460,000"
429,351 DIX Otto (1891-1969),"2,431,037","3,746,265",123,76,"296,835","2,200,000"
430,1175 FERRARIS Artur (1856-1936/40),"2,430,637","809,920",4,3,"900,000","800,000"
431,2551 QUINN Marc (1964),"2,414,386","275,515",40,16,"550,000","94,378"
432,280 LAVERY John (1856-1941),"2,399,661","4,938,545",13,25,"789,120","1,295,385"
433,647 REGO Paula (1935),"2,386,287","1,864,251",12,13,"945,792","635,424"
434,671 PU Ru (1887-1963),"2,384,659","1,731,252",150,122,"328,670","125,070"
435,4197 WALTERS Samuel (1811-1882),"2,371,596","128,433",2,7,"2,370,390","48,000"
436,728 ARBUS Diane (1923-1971),"2,369,957","1,561,217",84,57,"455,000","350,000"
437,2623 HIGASHIYAMA Kaii (1908-1999),"2,363,157","264,864",17,4,"1,126,720","104,400"
438,871 GLEIZES Albert (1881-1953),"2,362,865","1,216,169",97,82,"942,574","270,000"
439,323 ARTSCHWAGER Richard (1923),"2,357,278","4,038,459",19,19,"700,000","1,100,000"
440,993 POMPON François (1855-1933),"2,355,561","1,015,197",54,22,"341,946","118,576"
441,646 GUNAWAN Hendra (1918-1983),"2,353,972","1,864,632",18,19,"641,000","383,400"
442,477 PARRINO Steven (1958-2004),"2,347,287","2,743,867",13,11,"550,000","550,000"
443,483 LE PHO  (1907-2001),"2,344,852","2,704,217",64,67,"282,040","304,198"
444,683 PEYTON Elizabeth (1965),"2,342,832","1,685,838",12,16,"650,000","420,000"
445,275 POTTHAST Edward Henry (1857-1927),"2,324,700","4,996,600",9,19,"1,000,000","1,200,000"
446,1102 LONGO Robert (1953),"2,324,643","880,058",41,27,"418,635","325,872"
447,421 PEPLOE Samuel John (1871-1935),"2,315,271","3,110,710",12,17,"714,270","794,520"
448,"372 GOYEN van Jan Jozefsz, (1596-1656)","2,308,383","3,608,925",22,30,"691,355","613,710"
449,1604 KOLLWITZ Käthe (1867-1945),"2,305,058","533,657",183,58,"217,364","175,279"
450,500 IMMENDORFF Jörg (1945-2007),"2,303,781","2,627,677",80,48,"278,320","471,432"
451,1128 JIANG Zhaohe (1904-1986),"2,299,096","851,625",17,9,"496,740","373,810"
452,414 O’KEEFFE Georgia (1887-1986),"2,280,000","3,175,000",3,2,"1,400,000","2,650,000"
453,541 ZORN Anders Leonard (1860-1920),"2,270,768","2,316,124",130,79,"1,063,680","507,500"
454,382 BOGDANOV-BELSKY Nikolai Petrovich (1868-1945),"2,268,210","3,485,807",20,27,"293,640","577,696"
455,714 CHENG Shifa (1921-2007),"2,243,242","1,594,857",96,62,"128,200","154,320"
456,814 LAPCHINE Georges (1880/85-1950),"2,234,562","1,320,234",61,40,"127,939","236,472"
457,488 ZENG Chuanxing (1974),"2,232,725","2,681,315",15,11,"410,240","536,760"
458,878 BRAVO Claudio (1936),"2,219,820","1,203,568",10,13,"1,100,000","380,000"
459,496 PALADINO Mimmo (1948),"2,217,365","2,656,171",94,75,"238,560","191,620"
460,562 TOMASELLI Fred (1956),"2,216,482","2,204,500",15,12,"758,252","800,000"
461,161 RUSSELL Charles Marion (1864-1926),"2,214,210","8,829,300",15,23,"925,000","2,600,000"
462,376 RUFF Thomas (1958),"2,203,355","3,546,682",88,89,"140,000","169,201"
463,11959 VERONESE Paolo (1528-1588),"2,200,000","22,086",1,1,"2,200,000","22,086"
464,1039 ROMNEY George (1734-1802),"2,199,682","950,681",23,17,"480,000","190,000"
465,128 MAILLOL Aristide (1861-1944),"2,194,362","10,554,629",69,62,"400,000","2,700,000"
466,1301 WIERUSZ-KOWALSKI von Alfred (1849-1915),"2,184,847","710,365",17,20,"467,682","207,716"
467,1750 GUERCINO  (1591-1666),"2,183,969","467,845",17,15,"1,054,476","81,336"
468,296 YEATS Jack Butler (1871-1957),"2,181,359","4,413,146",33,45,"394,560","628,766"
469,933 ISHIDA Tetsuya (1973-2005),"2,180,340","1,099,196",8,5,"589,720","536,310"
470,1169 COUSE Eanger Irving (1866-1936),"2,178,800","812,550",15,14,"800,000","235,000"
471,578 SARIAN Martiros Sergeevich (1880-1972),"2,169,694","2,136,132",17,11,"587,280","512,408"
472,118 WHAN KI Kim (1913-1974),"2,169,421","11,896,314",12,28,"700,000","3,623,400"
473,1272 PRETI IL CAVALIERE CALABRESE Mattia (1613-1699),"2,169,163","729,281",4,3,"1,900,000","524,498"
474,4215 WALDMULLER Ferdinand Georg (1793-1865),"2,160,244","127,888",5,4,"1,655,955","55,769"
475,798 BONALUMI Agostino (1935),"2,155,600","1,357,034",58,51,"242,186","152,745"
476,1433 AST van der Balthasar (1593-1657),"2,152,285","620,000",5,1,"1,105,272","620,000"
477,572 HEADE Martin Johnson (1819-1904),"2,150,000","2,165,000",2,4,"1,200,000","925,000"
478,618 XU Bing (1955),"2,146,919","1,957,434",13,15,"867,341","567,600"
479,8421 JAKOBIDES Georgios (1853-1932),"2,144,808","41,564",12,2,"905,694","35,860"
480,287 DURER Albrecht (1471-1528),"2,129,807","4,637,698",299,155,"181,980","422,361"
481,980 ACCARDI Carla (1924),"2,123,170","1,027,733",52,40,"235,264","114,823"
482,1038 TANG Yin (1470-1523),"2,119,430","953,364",7,6,"921,705","745,880"
483,675 SANCHEZ Tomás (1948),"2,117,500","1,712,460",16,13,"360,000","410,000"
484,333 LOISEAU Gustave (1865-1935),"2,112,801","3,888,624",34,52,"221,237","340,000"
485,298 FRAGONARD Jean-Honoré (1732-1806),"2,088,101","4,387,523",15,17,"1,200,000","2,212,320"
486,1403 MILHAZES Beatriz (1960),"2,072,312","630,777",9,2,"900,000","386,973"
487,2002 WALL Jeff (1946),"2,068,820","381,955",6,5,"1,076,490","162,928"
488,640 WEN Zhengming (1470-1559),"2,066,669","1,888,691",14,15,"748,200","1,048,000"
489,424 KUSTODIEV Boris Mikhailovich (1878-1927),"2,050,981","3,089,642",6,10,"1,774,080","2,167,660"
490,167 SARGENT John Singer (1856-1925),"2,038,220","8,422,200",16,15,"997,000","1,900,000"
491,1032 DING Fang (1956),"2,035,143","960,360",11,17,"720,500","254,280"
492,6292 GNOLI Domenico (1933-1970),"2,029,238","67,294",10,4,"1,335,645","59,718"
493,713 KOUNELLIS Jannis (1936),"2,025,383","1,594,994",31,18,"1,072,538","512,356"
494,1214 MARIN John (1870-1953),"2,023,650","777,612",22,18,"825,000","260,000"
495,560 BROOTA Rameshwar (1941),"2,023,621","2,214,433",9,10,"550,000","660,000"
496,SWOBODA Rudolf II (1859-1914),"2,009,931",,3,,"1,994,000",
497,829 ZADKINE Ossip (1890-1967),"2,009,350","1,281,719",66,59,"373,483","160,000"
498,"9784 BENSON Ambrosius (c,1495-1550)","2,009,347","32,268",2,1,"1,973,700","32,268"
499,600 XIE Zhiliu (1910-1997),"2,008,935","2,056,738",63,43,"242,930","257,200"
500,MOUNT William Sidney (1807-1868),"2,007,000",,3,,"2,000,000",
