A,B,C,D,E
411,lIN yong (1942),"4,202,286",147,"197,064"
412,lEbAsquE Henri baptiste (1865-1937),"4,190,001",79,"761,096"
413,NoGuCHI Isamu (1904-1988),"4,175,339",10,"3,130,000"
414,NICHolsoN ben (1894-1982),"4,151,153",63,"694,635"
415,RosENquIsT James (1933),"4,134,028",125,"976,756"
416,vIEIRA dA sIlvA Maria Elena (1908-1992),"4,122,651",81,"795,093"
417,KouNEllIs Jannis (1936),"4,115,084",51,"1,297,160"
418,bAldEssARI John (1931),"4,113,050",55,"725,000"
419,buRCHFIEld Charles Ephraim (1893-1967),"4,111,828",33,"730,000"
420,AppEl Karel (1921-2006),"4,098,476",227,"506,199"
421,WHITElEy brett (1939-1992),"4,068,334",67,"568,978"
422,ZoRN Anders leonard (1860-1920),"4,063,335",125,"1,568,588"
423,IMAI Toshimitsu (1928-2002),"4,061,552",101,"413,000"
424,TANG yin (Attrib.) (1470-1523),"4,046,384",13,"3,844,200"
425,MARquET Albert (1875-1947),"4,039,437",81,"500,413"
426,quINN Marc (1964),"4,027,483",41,"442,000"
427,ZHu yuanzhi (1906-1963),"4,017,324",18,"1,202,280"
428,ZHENG Xiaoxu (1860-1938),"4,003,854",141,"534,060"
429,CHoN Kyung-Ja (1924),"4,002,271",20,"822,800"
430,yANG Feiyun (1954),"3,988,798",11,"1,323,420"
431,IMMENdoRFF Jörg (1945-2007),"3,935,306",202,"295,476"
432,lIANG qichao (1873-1929),"3,934,523",33,"944,150"
433,CRAGG Tony (1949),"3,916,962",28,"684,604"
434,pAdAMsEE Akbar (1928),"3,895,228",13,"759,528"
435,sARGENT John singer (1856-1925),"3,849,793",21,"670,000"
436,ZHou sicong (1939-1996),"3,838,317",77,"1,132,290"
437,lHoTE André (1885-1962),"3,837,855",132,"1,210,000"
438,Xu bing (1955),"3,825,160",16,"1,884,850"
439,yANG shen (1488-1559),"3,810,909",2,"3,809,461"
440,Xu Gu (1823-1896),"3,802,187",23,"1,583,780"
441,CAbRERA benedicto Reyes (1942),"3,799,700",47,"1,037,099"
442,HARTlEy Marsden (1877-1943),"3,779,900",8,"2,741,000"
443,REMINGToN Frederic sackrider (1861-1909),"3,760,974",25,"2,345,000"
444,GERsTl Richard (1883-1908),"3,722,000",1,"3,722,000"
445,bIERsTAdT Albert (1830-1902),"3,708,964",31,"1,205,000"
446,AI Xuan (1947),"3,698,212",24,"945,300"
447,sTAËl de Nicolas (1914-1955),"3,680,855",21,"1,440,218"
448,CAssIGNEul Jean-pierre (1935),"3,674,551",152,"250,018"
449,dING yi (1962),"3,666,714",20,"1,281,698"
450,vo danh (1975),"3,665,690",11,"920,921"
451,RING ludger Tom II (1522-1584),"3,639,000",2,"3,130,000"
452,NolAN sidney Robert (1917-1992),"3,572,746",160,"837,957"
453,sCHIFANo Mario (1934-1998),"3,572,301",207,"893,000"
454,RIvERA diego (1886-1957),"3,557,862",30,"1,049,000"
455,qIu ying (c.1494-1551/52),"3,556,633",19,"981,916"
456,WyETH Newell Convers (1882-1945),"3,555,925",11,"1,325,000"
457,lIu Kuiling (1885-1967),"3,531,866",22,"1,510,640"
458,vARo Remedios lizarraga (1908-1963),"3,530,637",7,"3,301,000"
459,vAlTAT louis (1869-1952),"3,529,825",116,"167,476"
460,soNG Wenzhi (1919-1999),"3,505,825",102,"377,660"
461,sHIMAMoTo shozo (1928-2013),"3,502,758",40,"784,320"
462,MATHIEu Georges (1921-2012),"3,499,185",82,"215,530"
463,boMbERG david (1890-1957),"3,491,579",21,"1,850,824"
464,loWMAN Nate (1979),"3,488,884",15,"646,000"
465,REGo paula (1935),"3,479,428",46,"1,800,971"
466,GRIMsHAW John Atkinson (1836-1893),"3,447,767",22,"475,964"
467,dEINEKA Alexander Alexandrov (1899-1969),"3,446,266",1,"3,446,266"
468,WANG Guangle (1976),"3,417,722",16,"471,213"
469,FAN Chengda (1126-1193),"3,403,080",1,"3,403,080"
470,MuNIZ vik (1961),"3,387,446",68,"293,000"
471,sTERN Irma (1894-1966),"3,387,230",43,"1,292,985"
472,Guo Moruo (1892-1978),"3,374,336",31,"319,401"
473,bRAsIlIER André (1929),"3,374,002",160,"241,374"
474,vEldE van de Willem II (1633-1707),"3,373,151",18,"2,197,381"
475,sHA qi (1914-2005),"3,365,836",66,"662,515"
476,FlANAGAN barry (1941-2009),"3,363,070",13,"898,000"
477,bIlAl Enki (1951),"3,354,037",43,"398,790"
478,Gu yuan (1919-1996),"3,329,599",39,"2,796,386"
479,MAN RAy  (1890-1976),"3,306,611",267,"558,714"
480,GoNG Xian (1618-1689),"3,296,148",12,"2,410,000"
481,MoRIsoT berthe (1841-1895),"3,290,476",18,"2,517,000"
482,yI bingshou (1754-1815),"3,271,406",30,"490,958"
483,JIN shangyi (1934),"3,252,611",5,"945,300"
484,doRAZIo piero (1927-2005),"3,249,292",214,"225,000"
485,spIllIAERT léon (1881-1946),"3,244,693",46,"811,422"
486,lE pHo  (1907-2001),"3,231,442",87,"546,960"
487,luo Zhongli (1948),"3,230,078",21,"851,400"
488,GobER Robert (1954),"3,223,823",7,"2,225,000"
489,pAN yuliang (1895-1977),"3,217,954",13,"1,790,520"
490,HENRI Robert (1865-1929),"3,214,574",18,"2,664,200"
491,RouAulT Georges (1871-1958),"3,213,407",184,"514,000"
492,qIu ying (Attrib.) (c.1494-1551/52),"3,209,030",20,"1,805,000"
493,FRINK Elisabeth (1930-1993),"3,195,910",77,"638,398"
494,HA Chonghyun (1935),"3,194,909",50,"255,420"
495,TIAN shiguang (1916-1999),"3,194,611",68,"680,202"
496,boRREMANs Michaël (1963),"3,184,099",6,"3,139,280"
497,CHIllIdA Eduardo (1924-2002),"3,183,764",149,"966,592"
498,HAMMERsHoI vilhelm (1864-1916),"3,174,863",1,"3,174,863"
499,RubIN Reuven (1893-1974),"3,167,450",52,"634,000"
500,pENN Irving (1917-2009),"3,150,275",84,"216,352"
