A,B,C,D,E
418,VaLtat Louis (1869-1952),"3,956,926",127,"258,685"
419,katZ alex (1927),"3,955,397",150,"470,000"
420,kUZnetSOV Pavel Varfolomeevich (1878-1968),"3,944,844",4,"3,418,041"
421,martin henri (1860-1943),"3,941,492",30,"520,000"
422,VaLDÉS manolo (1942),"3,929,743",46,"350,000"
423,raUCh neo (1960),"3,889,711",22,"1,452,088"
424,terPninG howard a. (1927),"3,858,580",18,"1,300,000"
425,ZhanG Shanzi (1882-1940),"3,840,085",90,"324,200"
426,WeStOn edward henry (1886-1958),"3,802,863",82,"750,000"
427,OChterVeLt Jacob (c.1634-1708/10),"3,800,000",1,"3,800,000"
428,WanG Guangyi (1957),"3,799,843",37,"1,167,120"
429,GaitOnDe Vasudeo. S. (1924-2001),"3,799,700",4,"2,100,000"
430,Wei Zixi (1915-2002),"3,791,768",120,"235,190"
431,GOYen van Jan Jozefsz. (1596-1656),"3,789,347",29,"1,200,000"
432,YUn Shouping (1633-1690),"3,784,559",78,"541,800"
433,Chann George (1913-1995),"3,774,643",57,"335,400"
434,BLUemner Oscar Florianus (1867-1938),"3,762,170",13,"3,200,000"
435,VarO remedios Lizarraga (1908-1963),"3,747,642",2,"3,700,000"
436,LariOnOV mikhail (1881-1964),"3,737,699",16,"2,682,080"
437,Pan Gongkai (1947),"3,737,332",16,"2,141,040"
438,maSriaDi i nyoman (1973),"3,729,217",16,"567,160"
439,VareJaO adriana (1964),"3,725,662",7,"800,650"
440,BOttiCeLLi Sandro (c.1445-1510),"3,720,075",3,"1,884,080"
441,CrUZ-DieZ Carlos (1923),"3,718,605",60,"420,000"
442,maCke august (1887-1914),"3,703,536",32,"1,850,400"
443,Sha menghai (1900-1992),"3,702,566",132,"293,940"
444,FrankenthaLer helen (1928-2011),"3,698,590",73,"720,000"
445,Stern irma (1894-1966),"3,689,564",19,"1,495,170"
446,hUanG Shen (1687-c.1773),"3,685,764",49,"425,100"
447,hemeSSen van Jan Sanders (1500/04-1566/75),"3,682,520",2,"2,569,200"
448,hOFmann hans (1880-1966),"3,681,690",26,"2,000,000"
449,PrOVOSt Jan (c.1465-1529),"3,680,012",2,"3,100,000"
450,Lin Yong (1942),"3,650,618",117,"259,360"
451,kertOn Sudjana (1922-1994),"3,649,947",11,"1,417,899"
452,JOrn asger (1914-1973),"3,643,315",133,"324,818"
453,BUrra edward (1905-1976),"3,642,410",22,"1,142,740"
454,keLLeY mike (1954-2012),"3,636,635",23,"1,600,000"
455,tenierS David ii (1610-1690),"3,632,938",21,"750,000"
456,LiaO Chi-Chun (1902-1976),"3,625,280",9,"1,252,033"
457,LOnGO robert (1953),"3,612,556",98,"513,840"
458,PaSSante Bartolomeo (1618-1648),"3,599,190",1,"3,599,190"
459,BaLLa Giacomo (1871-1958),"3,588,365",54,"769,680"
460,COUrBet Gustave (1819-1877),"3,578,125",24,"700,000"
461,Li Shan (1686-1760),"3,569,789",38,"652,800"
462,Lan Ying (1585-c.1664),"3,562,896",42,"438,210"
463,SUGimOtO hiroshi (1948),"3,542,833",95,"520,000"
464,YanG Zhiguang (1930),"3,525,002",119,"195,840"
465,inGreS Jean auguste Dominique (1780-1867),"3,508,968",26,"1,386,180"
466,PePLOe Samuel John (1871-1935),"3,501,514",13,"1,275,375"
467,kim tschang-Yeul (1929),"3,498,988",42,"451,149"
468,ZhanG enli (1965),"3,497,596",12,"708,949"
469,GheYn de Jacques ii (1565-1629),"3,491,701",19,"1,627,255"
470,LeBaSQUe henri Baptiste (1865-1937),"3,472,758",64,"391,512"
471,YanG Feiyun (1954),"3,467,338",14,"734,400"
472,ZhOU Jingxin (1959),"3,445,045",113,"519,040"
473,tOrreS GarCia Joaquín (1874-1949),"3,411,455",20,"1,300,000"
474,Frink elisabeth (1930-1993),"3,409,773",67,"1,530,450"
475,JianG hanting (1904-1963),"3,408,711",125,"300,625"
476,WanG Ziwu (1936),"3,404,947",51,"653,200"
477,kaWS (1974),"3,396,906",56,"351,934"
478,Le PhO (1907-2001),"3,396,747",96,"696,059"
479,LiU Yi (1957),"3,370,316",20,"615,980"
480,aDamS ansel easton (1902-1984),"3,353,714",140,"450,000"
481,ni Yuanlu (1593-1644),"3,350,382",10,"1,100,000"
482,BentOn thomas hart (1889-1975),"3,349,054",137,"850,000"
483,Le SiDaner henri (1862-1939),"3,340,698",31,"700,000"
484,arChiPenkO alexander (1887-1964),"3,335,600",33,"1,400,000"
485,GÉriCaULt théodore (1791-1824),"3,322,551",29,"1,158,223"
486,VerBeeCk Frans (?-1570),"3,320,200",1,"3,320,200"
487,POmODOrO arnaldo (1926),"3,319,259",66,"509,568"
488,riVera Diego (1886-1957),"3,316,561",43,"780,000"
489,Fa ruozhen (1613-1696),"3,309,474",6,"3,031,270"
490,niSSkiJ Georgij Grigor'evic (1903-1987),"3,302,214",4,"2,514,450"
491,mathieU Georges (1921-2012),"3,289,730",94,"174,468"
492,ChiU Ya tsai (1949-2013),"3,288,319",53,"180,459"
493,mikLOS Gustave (1888-1967),"3,287,953",16,"936,899"
494,maCk heinz (1931),"3,285,640",157,"500,000"
495,aSaWa ruth (1926-2013),"3,280,850",13,"1,144,000"
496,hUSain maqbool Fida (1915-2011),"3,275,069",54,"318,953"
497,Smith Lucien (1989),"3,267,887",43,"304,010"
498,Wen Jia (1501-1583),"3,261,051",17,"1,986,160"
499,OLiVier Friedrich (1791-1859),"3,249,008",2,"3,247,920"
500,WU Dayu (1903-1988),"3,248,689",9,"772,800"
