A,B,C,D,E
413,WANG Xijing (1946),"3,840,401",104,"506,230"
414,BruEGHEl Jan II (1601-1678),"3,832,024",25,"524,640"
415,cHENG Zhengkui (1604-1676),"3,831,229",9,"2,741,760"
416,sHA Menghai (1900-1992),"3,808,009",169,"127,686"
417,WANG Zhen (c.1867-1938),"3,774,998",237,"145,710"
418,PEYTON Elizabeth (1965),"3,772,271",32,"1,000,000"
419,HArTuNG Hans (1904-1989),"3,767,540",220,"334,487"
420,sTruTH Thomas (1954),"3,756,021",49,"1,049,852"
421,JONEs Allen (1937),"3,749,229",54,"2,971,600"
422,ZHANG Weibang (XVIII),"3,741,000",1,"3,741,000"
423,KIslING Moïse (1891-1953),"3,738,161",72,"298,870"
424,Xu Mangyao (1945),"3,720,699",11,"2,291,250"
425,ruBIN reuven (1893-1974),"3,713,902",52,"407,342"
426,HEEM de Jan davidsz (1606-1683/84),"3,703,246",4,"1,803,010"
427,lEE ufan (1936),"3,675,683",59,"427,500"
428,sHEN Yinmo (1883-1971),"3,665,555",171,"291,420"
429,sHIsHKIN Ivan Ivanovitch (1832-1898),"3,650,244",26,"2,837,523"
430,GIAcOMETTI Giovanni (1868-1933),"3,637,724",29,"555,200"
431,YANG Ermin (1966),"3,636,884",11,"1,796,300"
432,dAuMIEr Honoré (1808-1879),"3,634,318",80,"2,200,000"
433,MuNIZ Vik (1961),"3,620,990",96,"170,000"
434,MEMlING Hans (c.1433-1494),"3,600,000",1,"3,600,000"
435,YE Qianyu (1907-1995),"3,584,645",126,"326,400"
436,XIE shichen (1487-c.1567),"3,560,576",13,"2,529,600"
437,cHEN danqing (1953),"3,556,075",18,"783,840"
438,KuN cAN  (1612-1692),"3,550,266",5,"3,316,900"
439,KuPKA Frantisek (1871-1957),"3,530,526",47,"2,585,055"
440,PEPlOE samuel John (1871-1935),"3,505,741",14,"885,885"
441,cHArdIN Jean-Baptiste siméon (1699-1779),"3,500,000",1,"3,500,000"
442,ducHAMP Marcel (1887-1968),"3,496,154",33,"2,150,000"
443,sPIEs Walter (1895-1942),"3,490,868",3,"3,483,000"
444,WArHOl & BAsQuIAT Andy & Jean-Michel (XX),"3,488,077",3,"2,087,280"
445,HAMMErsHOI Vilhelm (1864-1916),"3,486,354",4,"1,435,545"
446,GOYA Y lucIENTEs de Francisco José (1746-1828),"3,481,773",182,"1,978,600"
447,lIu Yong (1719/20-1804/05),"3,479,284",101,"809,500"
448,BrANcusI constantin (1876-1957),"3,476,367",15,"2,042,819"
449,sOuZA Francis Newton (1924-2002),"3,467,252",71,"460,000"
450,cArrAccI Annibale (1560-1609),"3,459,241",10,"3,000,000"
451,dOMINGuEZ Oscar (1906-1957),"3,453,654",22,"2,910,050"
452,Xu Qinsong (1952),"3,431,185",46,"1,455,300"
453,rIcHIEr Germaine (1904-1959),"3,410,336",12,"850,000"
454,lI Guijun (1964),"3,405,450",18,"979,800"
455,rOuAulT Georges (1871-1958),"3,397,130",176,"650,000"
456,AsAWA ruth (1926-2013),"3,354,100",12,"1,200,000"
457,KAWArA On (1932),"3,339,937",17,"1,900,000"
458,rIOPEllE Jean-Paul (1923-2002),"3,339,028",85,"639,157"
459,scHIFANO Mario (1934-1998),"3,332,480",202,"517,304"
460,lI Jin (1958),"3,330,682",71,"518,079"
461,cHOu Ying (1493-1560),"3,326,350",51,"1,545,600"
462,crANAcH lucas II (1515-1586),"3,321,026",5,"1,500,000"
463,BEArd Peter (1938),"3,317,321",77,"370,000"
464,AKYAVAs Erol (1932-1999),"3,314,960",38,"1,268,910"
465,TAO lengyue (1895-1985),"3,311,508",203,"296,240"
466,BOYd Arthur (1920-1999),"3,298,414",77,"758,529"
467,TOrrEs GArcIA Joaquín (1874-1949),"3,297,683",21,"1,200,000"
468,KIM Whan Ki (1913-1974),"3,296,679",24,"550,000"
469,dINET Etienne Alphonse (1861-1929),"3,286,116",30,"829,808"
470,EMPErOr KANGXI  (1654-1722),"3,282,173",12,"1,416,800"
471,AuErBAcH Frank (1931),"3,273,077",21,"860,200"
472,Xu Bing (1955),"3,272,893",45,"1,051,700"
473,TuYMANs luc (1958),"3,267,134",34,"2,300,000"
474,cruZ-dIEZ carlos (1923),"3,261,179",44,"700,000"
475,NOlAN sidney robert (1917-1992),"3,259,056",160,"455,472"
476,TErPNING Howard A. (1927),"3,255,450",9,"1,500,000"
477,Yu Zhizhen (1915-1995),"3,250,399",94,"437,129"
478,sHEN Peng (1931),"3,228,359",126,"251,875"
479,MAssON André (1896-1987),"3,212,554",120,"1,100,470"
480,AdAMs Ansel Easton (1902-1984),"3,205,165",162,"350,000"
481,GONTcHArOVA Nathalie (1881-1962),"3,204,807",66,"836,220"
482,scHWITTErs Kurt (1887-1948),"3,194,730",22,"470,010"
483,TANG dai (1673-c.1755),"3,176,442",6,"2,300,000"
484,TrETcHIKOFF Vladimir Griegorov (1913-2006),"3,166,439",33,"1,268,904"
485,VAlTAT louis (1869-1952),"3,160,018",114,"190,000"
486,lIGON Glenn (1960),"3,156,400",22,"1,050,000"
487,MArIEscHI Michele Giovanni (1696/1710-1743),"3,148,828",9,"1,638,700"
488,scOTT William (1913-1989),"3,137,077",53,"644,680"
489,cHEN Wenxi (1906-1991),"3,135,204",59,"1,419,000"
490,YuN XI  (1711-1758),"3,123,903",6,"2,903,400"
491,JIANG Hanting (1904-1963),"3,120,442",131,"139,148"
492,OEHlEN Albert (1954),"3,108,636",16,"472,230"
493,Gu Wenda (1955),"3,104,957",24,"2,121,600"
494,luNA Y NOVIcIO Juan (1857-1899),"3,074,858",7,"2,838,000"
495,sOEdArsONO srihadi (1931),"3,070,496",38,"305,026"
496,Wu Qingxia (1910-2008),"3,059,098",172,"212,550"
497,PIErNEEF Jacob Hendrik (1886-1957),"3,051,318",93,"906,360"
498,sONG Yugui (1940),"3,045,792",42,"261,120"
499,ZHAO Zuo (c.1570-1633),"3,019,777",8,"2,905,200"
500,Xu cao (1898-1961),"3,005,328",67,"565,950"
