Rank, -,Artist,TotalSold,-,MaxPrice,-
245,228,SAINT-PHALLE de Niki (1930-2002),"$ 5,447,094","$ 4,375,819","$ 630,592","$ 1,000,000"
246,53421,ZAMPIERI IL DOMENICHINO Domenico (1581-1641),"$ 5,446,710","$ ,403","$ 5,446,710","$ ,403"
247,154,DUMAS Marlene (1953),"$ 5,433,883","$ 6,136,962","$ 1,667,988","$ 1,700,000"
248,542,LHOTE André (1885-1962),"$ 5,429,705","$ 1,616,988","$ 2,400,000","$ 104,844"
249,373,JIN Shangyi (1934),"$ 5,405,700","$ 2,523,024","$ 1,864,720","$ 585,120"
250,224,MAN RAY (1890-1976),"$ 5,398,477","$ 4,463,077","$ 601,880","$ 1,141,855"
251,438 MACKE August (1887-1914),,"$ 5,391,607","$ 2,103,129","$ 2,958,200","$ 667,54"
252,325 ROSENQUIST James (1933),,"$ 5,390,619","$ 3,017,199","$ 1,300,000","$ 800,00"
253,307 RUBIN Reuven (1893-1974),,"$ 5,387,899","$ 3,152,280","$ 340,000","$ 380,00"
254,19105 BULATOV Eric (1933),,"$ 5,340,130","$ 8,000","$ 1,593,760","$ 8,00"
255,578 LEVITAN Isaak Il’ich (1860-1900),,"$ 5,336,138","$ 1,483,808","$ 2,898,420","$ 898,60"
256,378 STRUTH Thomas (1954),,"$ 5,326,888","$ 2,496,835","$ 900,000","$ 427,66"
257,1002 STERN Irma (1894-1966),,"$ 5,315,654","$ 744,855","$ 1,002,540","$ 304,26"
258,279 FANTIN-LATOUR Henri-Théodore (1836-1904),,"$ 5,265,905","$ 3,514,539","$ 1,450,000","$ 1,147,74"
259,3000 POPOVA Liubov Sergeevna (1889-1924),,"$ 5,235,830","$ 164,620","$ 3,094,800","$ 68,98"
260,3103 SHAW Raqib (1974),,"$ 5,222,180","$ 157,500","$ 4,891,680","$ 60,00"
261,546 POKHITONOV Ivan Pavlovich (1851-1924),,"$ 5,143,815","$ 1,582,161","$ 412,640","$ 213,67"
262,122 BOURGEOIS Louise (1911),,"$ 5,069,616","$ 7,469,729","$ 1,700,000","$ 3,600,00"
263,1163 KABAKOV Ilya (1933),,"$ 5,047,145","$ 599,905","$ 3,585,960","$ 411,86"
264,341 ROTELLA Mimmo (1918-2006),,"$ 5,021,684","$ 2,853,564","$ 631,346","$ 371,30"
265,187 MOTHERWELL Robert (1915-1991),,"$ 5,011,492","$ 5,210,623","$ 880,000","$ 900,00"
266,288 WILLIAMS Frederick Ronald (1927-1982),,"$ 5,005,845","$ 3,355,720","$ 1,282,935","$ 1,162,56"
267,721 TAIT Arthur Fitzwilliam (1819-1905),,"$ 4,990,194","$ 1,157,125","$ 2,500,000","$ 750,00"
268,1543 ANNENKOFF Youri P. Georges (1889-1974),,"$ 4,949,238","$ 409,142","$ 4,140,600","$ 213,67"
269,233 WYETH Newell Convers (1882-1945),,"$ 4,945,625","$ 4,146,000","$ 1,600,000","$ 1,800,00"
270,256 LAVERY John (1856-1941),,"$ 4,938,545","$ 3,850,385","$ 1,295,385","$ 1,511,46"
271,201 AI Xuan (1947),,"$ 4,936,727","$ 4,924,676","$ 827,770","$ 516,00"
272,270 SCHMIDT-ROTTLUFF Karl (1884-1976),,"$ 4,929,581","$ 3,628,016","$ 1,079,265","$ 857,41"
273,1234 POTTHAST Edward Henry (1857-1927),,"$ 4,876,600","$ 557,975","$ 1,200,000","$ 240,00"
274,MEULEN van der Steven (c.1525-c.1575),,"$ 4,796,475",,"$ 4,744,900",
275,312 HENRY Paul (1876-1958),,"$ 4,796,339","$ 3,136,805","$ 439,800","$ 391,86"
276,359 KONCHALOVSKY Piotr Petrovich (1876-1956),,"$ 4,730,697","$ 2,694,287","$ 1,609,296","$ 445,80"
277,164 KIPPENBERGER Martin (1953-1997),,"$ 4,724,481","$ 5,845,404","$ 1,117,435","$ 774,69"
278,361 MENZEL von Adolph (1815-1905),,"$ 4,719,408","$ 2,669,204","$ 2,598,440","$ 1,381,87"
279,392 WU Changshuo (1844-1927),,"$ 4,678,103","$ 2,392,481","$ 805,800","$ 407,36"
280,1711 BIÉLER Ernest (1863-1948),,"$ 4,639,366","$ 361,705","$ 704,565","$ 124,06"
281,236 GOYA Y LUCIENTES Francisco (1746-1828),,"$ 4,572,033","$ 4,133,910","$ 2,300,000","$ 2,572,18"
282,38 HOPPER Edward (1882-1967),,"$ 4,556,000","$ 24,194,956","$ 1,800,000","$ 24,000,00"
283,402 CHURCHILL Winston Spencer (1874-1965),,"$ 4,501,769","$ 2,341,936","$ 1,777,825","$ 1,055,80"
284,381 DYCK van Anthonius (1599-1641),,"$ 4,479,174","$ 2,479,670","$ 1,600,000","$ 1,350,00"
285,513 ERNST Rudolph (1854-1932),,"$ 4,457,879","$ 1,733,118","$ 668,900","$ 322,43"
286,333 SCHIFANO Mario (1934-1998),,"$ 4,435,889","$ 2,923,046","$ 331,246","$ 167,09"
287,454 STEEN Jan Havicksz. (1623/26-1679),,"$ 4,433,531","$ 2,019,927","$ 3,025,500","$ 1,107,00"
288,314 YEATS Jack Butler (1871-1957),,"$ 4,413,146","$ 3,111,147","$ 628,766","$ 919,24"
289,175 CHADWICK Lynn Russell (1914-2003),,"$ 4,406,575","$ 5,537,473","$ 850,000","$ 1,650,00"
290,195 FRAGONARD Jean-Honoré (1732-1806),,"$ 4,387,523","$ 5,031,472","$ 2,212,320","$ 4,428,00"
291,413 DÜRER Albrecht (1471-1528),,"$ 4,378,561","$ 2,264,191","$ 422,361","$ 158,28"
292,479 YANG Feiyun (1954),,"$ 4,320,338","$ 1,890,978","$ 705,640","$ 309,51"
293,8463 FAVRAY de Antoine (1706-1798),,"$ 4,316,240","$ 35,622","$ 1,709,402","$ 35,62"
294,639 GODWARD John William (1861-1922),,"$ 4,295,977","$ 1,329,963","$ 913,320","$ 1,083,22"
295,562 TIEPOLO Giovanni Domenico (1727-1804),,"$ 4,295,254","$ 1,518,468","$ 2,352,555","$ 788,12"
296,828 SHI Chong (1963),,"$ 4,291,412","$ 954,079","$ 1,965,000","$ 429,44"
297,483 REINHARDT Ad (1913-1967),,"$ 4,276,000","$ 1,858,013","$ 2,300,000","$ 950,00"
298,42 BRAQUE Georges (1882-1963),,"$ 4,267,333","$ 21,226,312","$ 951,535","$ 4,955,03"
299,709 CHAO Chun-Hsiang (1910-1991),,"$ 4,234,761","$ 1,178,041","$ 619,200","$ 400,00"
300,481 CORNELL Joseph (1903-1972),,"$ 4,230,729","$ 1,881,014","$ 1,050,000","$ 520,00"
301,174,VALLOTTON Félix (1865-1925),"$ 4,223,182","$ 5,569,815","$ 480,000","$ 1,851,255"
302,2984,McCUBBIN Frederick (1855-1917),"$ 4,216,505","$ 165,894","$ 1,324,320","$ 56,763"
303,1323,BENSON Frank Weston (1862-1951),"$ 4,210,242","$ 501,000","$ 1,700,000","$ 210,000"
304,665,FRIESZ Emile Othon (1879-1949),"$ 4,209,561","$ 1,266,609","$ 2,273,205","$ 280,000"
305,138,BOTTICELLI Sandro (c.1445-1510),"$ 4,200,000","$ 6,699,020","$ 4,200,000","$ 6,699,020"
306,162,WITTEL van Gaspar (1653-1736),"$ 4,195,739","$ 5,920,159","$ 3,506,420","$ 2,021,980"
307,3,KLIMT Gustav (1862-1918),"$ 4,179,372","$ 175,143,621","$ 628,576","$ 78,500,000"
308,660,PARTHÉNIS Constantin (1878-1967),"$ 4,143,694","$ 1,280,424","$ 1,197,874","$ 760,280"
309,697,OSTADE van Adriaen Jansz. (1610-1685),"$ 4,107,882","$ 1,199,035","$ 1,431,990","$ 395,380"
310,227,SCOTT William (1913-1989),"$ 4,066,572","$ 4,395,557","$ 800,085","$ 982,280"
311,338,YANG Shao-Bin (1963),"$ 4,047,210","$ 2,883,139","$ 407,640","$ 270,690"
312,391,ARTSCHWAGER Richard (1923),"$ 4,038,459","$ 2,398,096","$ 1,100,000","$ 750,000"
313,493,LU Yanshao (1909-1993),"$ 4,032,662","$ 1,812,438","$ 504,647","$ 180,460"
314,2170,CHENG Conglin (1954),"$ 4,016,485","$ 260,598","$ 2,753,150","$ 83,007"
315,418,ISRAELS Isaac Lazarus (1865-1934),"$ 4,008,224","$ 2,203,188","$ 489,024","$ 541,112"
316,1065,HUA Yan (1682-1756),"$ 4,006,104","$ 680,665","$ 2,350,250","$ 127,200"
317,417,FRANK Robert (1924),"$ 3,999,854","$ 2,205,232","$ 520,000","$ 170,000"
318,262,LE MAYEUR DE MERPRES Adrien Jean (1880-,"$ 3,963,135","$ 3,769,327","$ 1,917,000","$ 1,548,000"
319,284,ANISFELD Boris Israelewitsch (1879-1973),"$ 3,948,818","$ 3,419,017","$ 825,000","$ 954,771"
320,6877,LENTULOV Aristarkh Vasilievic (1882-1943),"$ 3,938,696","$ 49,644","$ 3,094,800","$ 49,644"
321,1164,VERESCAGIN Vasilij Vasilevic (1842-1904),"$ 3,926,902","$ 599,636","$ 3,200,000","$ 300,000"
322,193,DAWSON Montague (1895-1973),"$ 3,892,046","$ 5,074,692","$ 350,000","$ 440,000"
323,291,LOISEAU Gustave (1865-1935),"$ 3,888,624","$ 3,335,398","$ 340,000","$ 260,000"
324,695,MAGNELLI Alberto (1888-1971),"$ 3,884,294","$ 1,202,538","$ 1,581,360","$ 519,820"
325,64,SAN Yu (1901-1966),"$ 3,880,884","$ 14,940,962","$ 1,405,800","$ 3,341,000"
326,203,KUMAR Ram (1924-2000),"$ 3,876,228","$ 4,885,149","$ 280,000","$ 470,000"
327,293,GÉROME Jean-Léon (1824-1904),"$ 3,872,517","$ 3,318,992","$ 979,559","$ 1,693,260"
328,960,NAUMAN Bruce (1941),"$ 3,870,544","$ 789,518","$ 1,300,000","$ 320,000"
329,607,MUSIC Zoran (1909-2005),"$ 3,857,948","$ 1,398,895","$ 1,761,600","$ 179,915"
330,724,BRIDGMAN Frederic Arthur (1847-1928),"$ 3,841,824","$ 1,142,541","$ 679,592","$ 370,000"
331,1957,HEEM de Jan Davidsz (1606-1683/84),"$ 3,837,824","$ 299,996","$ 2,062,600","$ 177,968"
332,377,SAURA Antonio (1930-1998),"$ 3,835,586","$ 2,517,655","$ 906,476","$ 382,230"
333,741,MOHOLY-NAGY László (1895-1946),"$ 3,832,169","$ 1,114,784","$ 1,387,120","$ 193,520"
334,397,BRUEGHEL Jan II (1601-1678),"$ 3,828,789","$ 2,377,049","$ 780,000","$ 414,018"
335,2023,LAGORIO Lev Feliksovic (1827-1905),"$ 3,822,214","$ 287,352","$ 2,564,770","$ 240,000"
336,141,HECKEL Erich (1883-1970),"$ 3,815,500","$ 6,557,437","$ 1,304,622","$ 3,200,000"
337,242,LAWRENCE Thomas (1769-1830),"$ 3,814,411","$ 4,043,818","$ 2,118,165","$ 3,511,670"
338,,LE CLEAR Thomas (1818-1882),"$ 3,750,000",,"$ 3,750,000",
339,244,MASSON André (1896-1987),"$ 3,744,971","$ 4,016,448","$ 392,325","$ 1,586,790"
340,349,DIX Otto (1891-1969),"$ 3,742,865","$ 2,774,531","$ 2,200,000","$ 319,923"
341,437,SEURAT Georges (1859-1891),"$ 3,740,549","$ 2,104,235","$ 1,671,610","$ 1,200,000"
342,468,GILBERT & GEORGE (1965),"$ 3,736,049","$ 1,978,015","$ 591,078","$ 580,000"
343,852,FENG Zhengjie (1968),"$ 3,728,455","$ 927,355","$ 250,000","$ 92,903"
344,355,RICHTER Daniel (1962),"$ 3,727,656","$ 2,711,550","$ 700,000","$ 464,125"
345,661,VOLANAKIS Constantinos (1837-1907),"$ 3,724,445","$ 1,279,416","$ 1,115,632","$ 319,022"
346,889,SMART Frank Jeffrey Edson (1921),"$ 3,720,887","$ 873,568","$ 632,400","$ 116,496"
347,420,CLAVÉ Antoni (1913-2005),"$ 3,709,594","$ 2,201,985","$ 705,300","$ 213,748"
348,,DOESBURG van Theo (1883-1931),"$ 3,707,772",,"$ 3,700,000",
349,551,GRECO el Dom. Theotokopoulos (1541-1614),"$ 3,700,000","$ 1,565,360","$ 3,700,000","$ 1,565,360"
350,537,LIU Wei (1965),"$ 3,692,824","$ 1,635,699","$ 670,800","$ 205,600"
351,,GENTILESCHI Orazio (1563-1639),"$ 3,682,260",,"$ 3,682,260",
352,845,LENG Jun (1963),"$ 3,666,580","$ 932,381","$ 1,050,000","$ 661,440"
353,658,DORAZIO Piero (1927-2005),"$ 3,661,153","$ 1,281,814","$ 252,035","$ 154,092"
354,941,NEVELSON Louise (1900-1988),"$ 3,636,635","$ 810,435","$ 460,000","$ 150,000"
355,734,BROWN Glenn (1966),"$ 3,633,356","$ 1,125,890","$ 836,052","$ 600,000"
356,641,CRANACH Lucas II (1515-1586),"$ 3,630,958","$ 1,322,377","$ 3,227,680","$ 828,720"
357,609,LARSSON Carl Olof (1853-1919),"$ 3,621,681","$ 1,397,002","$ 1,022,700","$ 442,200"
358,1150,RICCI Sebastiano (1659-1734),"$ 3,614,703","$ 609,498","$ 2,150,000","$ 280,302"
359,339,CAMPIGLI Massimo (1895-1971),"$ 3,614,334","$ 2,868,819","$ 443,421","$ 371,300"
360,452,GOYEN van Jan Jozefsz. (1596-1656),"$ 3,608,925","$ 2,025,087","$ 613,710","$ 354,654"
361,336,PRENDERGAST Maurice Brazil (1858-1924),"$ 3,595,000","$ 2,898,500","$ 800,000","$ 1,700,000"
362,248,BOMBERG David (1890-1957),"$ 3,576,365","$ 3,934,009","$ 1,415,535","$ 1,700,100"
363,182,REDON Odilon (1840-1916),"$ 3,504,736","$ 5,299,678","$ 800,000","$ 1,400,000"
364,246,MARDEN Brice (1938),"$ 3,503,417","$ 3,966,079","$ 900,000","$ 2,650,000"
365,316,BOGDANOV-BELSKY Nikolai Petrovich (1868-1945),"$ 3,485,807","$ 3,088,807","$ 577,696","$ 1,200,000"
366,440,SPITZWEG Carl (1808-1885),"$ 3,480,807","$ 2,096,786","$ 638,158","$ 482,372"
367,335,FOUJITA Tsuguharu (1886-1968),"$ 3,465,916","$ 2,902,686","$ 333,591","$ 196,650"
368,4348,UFAN Lee (1936),"$ 3,454,500","$ 98,990","$ 1,700,000","$ 55,000"
369,326,RUFF Thomas (1958),"$ 3,452,522","$ 3,014,484","$ 169,201","$ 130,000"
370,,FRA ANGELICO (c.1395-1455),"$ 3,413,090",,"$ 3,413,090",
371,283,HUANG Binhong (1864-1955),"$ 3,405,886","$ 3,451,144","$ 376,040","$ 321,000"
372,723,WANG Hui (1632-1717),"$ 3,405,428","$ 1,148,353","$ 1,230,786","$ 249,600"
373,430,LUO Zhongli (1948),"$ 3,404,810","$ 2,144,035","$ 610,650","$ 349,440"
374,416,CUCCHI Enzo (1949),"$ 3,391,391","$ 2,215,218","$ 557,816","$ 922,250"
375,508,LAURENCIN Marie (1885-1956),"$ 3,386,845","$ 1,751,054","$ 264,911","$ 240,840"
376,372,KISLING Moïse (1891-1953),"$ 3,385,799","$ 2,528,535","$ 230,000","$ 240,000"
377,351,ROUAULT Georges (1871-1958),"$ 3,365,144","$ 2,753,308","$ 555,996","$ 372,766"
378,472,BLACKMAN Charles (1928),"$ 3,326,711","$ 1,946,745","$ 613,800","$ 653,735"
379,987,MAO Yan (1968),"$ 3,314,003","$ 758,143","$ 1,194,160","$ 218,275"
380,25159,BALDUNG Hans (c.1480-1545),"$ 3,301,354","$ 4,364","$ 3,300,000","$ 2,272"
381,,UYL den Jan Jansz (1595/96-1639/40),"$ 3,300,160",,"$ 3,300,160",
382,317,MEIDNER Ludwig (1884-1966),"$ 3,299,257","$ 3,083,840","$ 2,654,910","$ 2,810,720"
383,159,KELLEY Mike (1954),"$ 3,285,646","$ 5,949,434","$ 950,000","$ 2,400,000"
384,569,SCHNABEL Julian (1951),"$ 3,283,065","$ 1,513,077","$ 400,000","$ 720,000"
385,909,NOBLE & WEBSTER Tim & Sue (XX),"$ 3,268,863","$ 844,729","$ 589,290","$ 297,504"
386,371,RIVERA Diego (1886-1957),"$ 3,267,316","$ 2,541,904","$ 625,000","$ 1,100,000"
387,2343,VASSILIEFF Marie (1884-1957),"$ 3,250,605","$ 234,985","$ 700,000","$ 85,065"
388,462,HENRI Robert (1865-1929),"$ 3,238,750","$ 1,995,390","$ 650,000","$ 700,000"
389,1337,VENNE van de Adriaen Pietersz. (1589-1662),"$ 3,231,340","$ 494,098","$ 2,319,550","$ 337,637"
390,752,MILLARES Manolo (1926-1972),"$ 3,221,978","$ 1,080,985","$ 636,992","$ 331,542"
391,4713,JORDAENS Jacob (1593-1678),"$ 3,213,186","$ 88,117","$ 3,025,950","$ 31,568"
392,282,SPRINGER Cornelis (1817-1891),"$ 3,211,525","$ 3,494,704","$ 516,078","$ 1,220,018"
393,853,PASINI Alberto (1826-1899),"$ 3,210,259","$ 925,570","$ 2,222,222","$ 370,000"
394,820,CARRINGTON Leonora (1917),"$ 3,199,439","$ 960,154","$ 530,000","$ 480,000"
395,152,JORN Asger (1914-1973),"$ 3,198,366","$ 6,147,048","$ 234,560","$ 1,039,360"
396,384,CHEN Danqing (1953),"$ 3,186,615","$ 2,451,105","$ 1,628,400","$ 1,300,000"
397,104,CHILLIDA Eduardo (1924-2002),"$ 3,183,926","$ 8,865,377","$ 1,389,990","$ 3,320,100"
398,,ZURBARAN de Francisco (1598-1664),"$ 3,180,952",,"$ 3,100,000",
399,465,FRANKENTHALER Helen (1928),"$ 3,176,682","$ 1,991,660","$ 520,000","$ 410,000"
400,183,O’KEEFFE Georgia (1887-1986),"$ 3,175,000","$ 5,265,000","$ 2,650,000","$ 825,000"
401,289,BEUYS Joseph (1921-1986),"$ 3,173,948","$ 3,355,031","$ 648,219","$ 553,350"
402,241,SCULLY Sean (1946),"$ 3,166,720","$ 4,047,423","$ 800,000","$ 800,000"
403,1764,WANG Jian (1598-1677),"$ 3,151,755","$ 347,936","$ 1,230,786","$ 167,180"
404,899,MILNE David Brown (1882-1953),"$ 3,150,340","$ 859,754","$ 1,270,000","$ 201,503"
405,1295,WU Zuoren (1908-1997),"$ 3,146,786","$ 521,658","$ 1,516,480","$ 122,075"
406,,KONCHALOVSKIJ Petr (1876-1956),"$ 3,137,906",,"$ 1,757,120",
407,503,LELY Pieter (1618-1680),"$ 3,128,941","$ 1,783,587","$ 2,824,220","$ 1,588,565"
408,281,ARCHIPENKO Alexander (1887-1964),"$ 3,122,905","$ 3,496,908","$ 1,300,000","$ 760,000"
409,605,TORRES GARCIA Joaquín (1874-1949),"$ 3,112,062","$ 1,402,193","$ 1,100,000","$ 650,000"
410,185,PEPLOE Samuel John (1871-1935),"$ 3,110,710","$ 5,263,519","$ 794,520","$ 820,180"
411,400,GOTTLIEB Adolph (1903-1974),"$ 3,089,100","$ 2,364,570","$ 1,200,000","$ 425,000"
412,2004,KUSTODIEV Boris Mikhailovich (1878-1927),"$ 3,087,497","$ 291,500","$ 2,167,660","$ 60,000"
413,319,AFRO (1912-1976),"$ 3,074,476","$ 3,074,307","$ 403,256","$ 761,165"
414,207,HEPWORTH Barbara (1903-1975),"$ 3,070,840","$ 4,821,999","$ 792,402","$ 2,350,000"
415,925,CADELL Francis C. Boileau (1883-1937),"$ 3,067,598","$ 824,070","$ 460,782","$ 237,600"
416,474,HANTAï Simon (1922),"$ 3,059,093","$ 1,942,229","$ 338,284","$ 402,838"
417,172,LEMPICKA de Tamara (1898-1980),"$ 3,056,889","$ 5,725,283","$ 1,900,000","$ 2,800,000"
418,,AI & JIN Q. & T. (Attrib.) (XVIII),"$ 3,042,040",,"$ 1,417,900",
419,1203,LEAR Edward (1812-1888),"$ 3,014,753","$ 577,205","$ 1,639,262","$ 103,538"
420,,CIMA DA CONEGLIANO Giovanni Battista (c.1459-,"$ 3,000,000",,"$ 3,000,000",
421,273,SIRONI Mario (1885-1961),"$ 2,999,665","$ 3,616,655","$ 944,440","$ 894,530"
422,263,SEREBRJAKOWA Sinaida Jewgenewna (1884-,"$ 2,990,901","$ 3,744,863","$ 1,031,600","$ 1,511,874"
423,560,BREITNER Georg Hendrik (1857-1923),"$ 2,985,326","$ 1,520,044","$ 922,805","$ 432,180"
424,1486,YUN SHOUPING (1633-1690),"$ 2,970,900","$ 424,176","$ 1,434,400","$ 167,700"
425,10275,CAFFI Cavaliere Ippolito (1809-1866),"$ 2,964,373","$ 25,779","$ 1,819,408","$ 20,908"
426,364,RAUCH Neo (1960),"$ 2,963,707","$ 2,612,082","$ 650,000","$ 736,760"
427,5347,QIAN Weicheng (1720-1772),"$ 2,960,423","$ 73,139","$ 2,803,600","$ 38,160"
428,292,WEISCHER Matthias (1973),"$ 2,955,159","$ 3,334,914","$ 400,000","$ 380,000"
429,766,YIN Zhaoyang (1970),"$ 2,942,506","$ 1,054,223","$ 407,100","$ 150,000"
430,127,DOMINGUEZ Oscar (1906-1957),"$ 2,940,728","$ 7,203,045","$ 638,685","$ 1,475,760"
431,368,VALDÉS Manolo (1942),"$ 2,931,246","$ 2,592,117","$ 517,972","$ 450,000"
432,470,MÜNTER Gabriele (1877-1962),"$ 2,922,185","$ 1,963,998","$ 414,148","$ 516,516"
433,467,CARR Emily M. (1871-1945),"$ 2,915,717","$ 1,988,706","$ 529,920","$ 392,580"
434,321,BLAAS de Eugenio (1843-1931),"$ 2,912,749","$ 3,061,301","$ 765,966","$ 720,000"
435,258,RYSSELBERGHE van Théo (1862-1926),"$ 2,891,309","$ 3,812,327","$ 1,146,486","$ 900,000"
436,429,BOCCIONI Umberto (1882-1916),"$ 2,874,909","$ 2,146,002","$ 2,300,510","$ 1,290,376"
437,365,POMODORO Arnaldo (1926),"$ 2,871,587","$ 2,610,019","$ 420,000","$ 352,735"
438,334,FRINK Elizabeth (1930-1993),"$ 2,860,817","$ 2,909,681","$ 589,222","$ 610,467"
439,458,NEWTON Helmut (1920-2004),"$ 2,849,007","$ 2,003,464","$ 316,528","$ 110,000"
440,847,LAWRENCE Jacob (1917-2000),"$ 2,842,280","$ 929,561","$ 2,200,000","$ 850,000"
441,99,LIAO Chi-Ch’un (1902-1976),"$ 2,837,919","$ 9,375,060","$ 1,543,200","$ 2,247,840"
442,6995,REYLE Anselm (1970),"$ 2,836,141","$ 48,344","$ 529,542","$ 48,344"
443,561,RAMOS Mel (1935),"$ 2,834,297","$ 1,519,818","$ 756,428","$ 891,120"
444,1092,RALLI Théodore Scaramanga (1852-1909),"$ 2,833,745","$ 652,800","$ 1,321,792","$ 152,279"
445,635,PIERNEEF Jacob Hendrik (1886-1957),"$ 2,828,755","$ 1,337,002","$ 364,520","$ 387,240"
446,2723,SUCHAEV Vasilij Ivanovic (1887-1973),"$ 2,820,907","$ 189,035","$ 1,578,320","$ 67,988"
447,445,BUTTERSWORTH James Edward (1817-1894),"$ 2,819,978","$ 2,054,138","$ 600,000","$ 470,000"
448,1017,NEWMAN Barnett (1905-1970),"$ 2,814,791","$ 728,000","$ 2,600,000","$ 300,000"
449,533,WU Dayu (1903-1988),"$ 2,810,711","$ 1,644,500","$ 308,890","$ 696,600"
450,2545,POLENOV Vasili Dimitrevich (1844-1927),"$ 2,801,866","$ 208,864","$ 1,279,184","$ 194,250"
451,275,SOTO Jesús Raphael (1923-2005),"$ 2,800,189","$ 3,590,735","$ 240,000","$ 330,980"
452,2434,CARREÑO Mario (1913-1999),"$ 2,781,500","$ 223,182","$ 2,300,000","$ 55,000"
453,278,YUSKAVAGE Lisa (1962),"$ 2,775,500","$ 3,535,805","$ 1,200,000","$ 900,000"
454,395,CAULFIELD Patrick (1936-2005),"$ 2,773,068","$ 2,382,380","$ 696,710","$ 832,455"
455,518,NOLAN Sidney Robert (1917-1992),"$ 2,769,991","$ 1,724,564","$ 450,120","$ 511,448"
456,428,KATZ Alex (1927),"$ 2,760,402","$ 2,154,826","$ 580,000","$ 278,910"
457,553,TING Walasse (1929),"$ 2,756,974","$ 1,557,661","$ 226,725","$ 309,200"
458,896,TANCREDI Parmeggiani (1927-1964),"$ 2,748,517","$ 863,981","$ 449,570","$ 259,910"
459,13949,PARRINO Steven (1958-2004),"$ 2,743,867","$ 15,000","$ 550,000","$ 15,000"
460,286,WHISTLER James Abbot McNeill (1834-1903),"$ 2,739,516","$ 3,367,316","$ 300,000","$ 909,091"
461,342,HERBIN Auguste (1882-1960),"$ 2,738,776","$ 2,834,841","$ 600,000","$ 310,000"
462,1937,SHIRAGA Kazuo (1924),"$ 2,737,099","$ 303,526","$ 941,312","$ 213,184"
463,805,SURVAGE Léopold (1879-1968),"$ 2,732,717","$ 989,967","$ 309,915","$ 210,000"
464,431,FAN Zeng (1938),"$ 2,715,303","$ 2,140,961","$ 474,949","$ 448,800"
465,656,SERRA Richard (1939),"$ 2,714,737","$ 1,291,805","$ 1,300,000","$ 320,000"
466,212,LAM Wifredo (1902-1982),"$ 2,708,777","$ 4,695,931","$ 850,000","$ 1,150,000"
467,705,SCARPITTA Salvatore (1919-2007),"$ 2,708,329","$ 1,180,719","$ 580,000","$ 594,080"
468,983,CASSIGNEUL Jean-Pierre (1935),"$ 2,705,964","$ 763,456","$ 200,000","$ 150,000"
469,1054,HORST Horst P. (1906-1999),"$ 2,703,438","$ 690,729","$ 240,000","$ 143,160"
470,425,VEDOVA Emilio (1919-2006),"$ 2,692,397","$ 2,175,784","$ 742,100","$ 682,216"
471,16358,PARK David (1911-1960),"$ 2,685,000","$ 11,000","$ 1,500,000","$ 11,000"
472,332,ADAMS Ansel Easton (1902-1984),"$ 2,682,891","$ 2,960,650","$ 120,000","$ 530,000"
473,725,ELIASSON Olafur (1967),"$ 2,682,688","$ 1,137,499","$ 1,323,855","$ 200,000"
474,3816,ZENG Chuanxing (1974),"$ 2,681,315","$ 119,028","$ 536,760","$ 87,228"
475,457,MESDAG Hendrik Willem (1831-1915),"$ 2,679,075","$ 2,006,493","$ 597,564","$ 625,650"
476,1293,DELAUNAY Robert (1885-1941),"$ 2,672,879","$ 522,236","$ 2,500,000","$ 224,211"
477,608,CHIA Sandro (1946),"$ 2,668,309","$ 1,397,251","$ 427,686","$ 167,238"
478,762,JACKSON Alexander Young (1882-1974),"$ 2,664,585","$ 1,064,235","$ 462,510","$ 174,480"
479,599,LAURENS Henri (1885-1954),"$ 2,664,430","$ 1,420,229","$ 928,590","$ 520,000"
480,512,PALADINO Mimmo (1948),"$ 2,653,821","$ 1,735,544","$ 191,620","$ 166,005"
481,422,LE PHO (1907-2001),"$ 2,646,103","$ 2,189,765","$ 304,198","$ 186,540"
482,831,ENSOR James (1860-1949),"$ 2,641,760","$ 949,288","$ 824,166","$ 220,388"
483,575,BURLJUK David Davidovich (1882-1967),"$ 2,631,492","$ 1,488,216","$ 557,847","$ 170,000"
484,234,CAILLEBOTTE Gustave (1848-1894),"$ 2,629,728","$ 4,139,327","$ 883,035","$ 1,400,000"
485,821,IMMENDORFF Jörg (1945-2007),"$ 2,627,039","$ 959,980","$ 471,432","$ 83,673"
486,386,AFFANDI (1907-1990),"$ 2,617,995","$ 2,425,395","$ 220,000","$ 205,600"
487,405,ESTEVE Maurice (1904-2001),"$ 2,610,174","$ 2,330,589","$ 553,137","$ 396,240"
488,1786,FASSIANOS Alexandre (1935),"$ 2,604,600","$ 342,037","$ 857,346","$ 78,988"
489,358,SAVINIO Alberto (1891-1952),"$ 2,596,341","$ 2,694,869","$ 1,015,800","$ 1,178,190"
490,412,PISIS de Filippo (1896-1956),"$ 2,594,050","$ 2,266,356","$ 178,104","$ 153,348"
491,692,CARRA Carlo (1881-1966),"$ 2,592,042","$ 1,208,711","$ 994,338","$ 385,797"
492,6899,REDOUTÉ Pierre-Joseph (1759-1840),"$ 2,584,543","$ 49,364","$ 2,200,000","$ 43,177"
493,833,PISTOLETTO Michelangelo (1933),"$ 2,582,289","$ 944,483","$ 590,614","$ 241,345"
494,808,REYNOLDS Joshua (1723-1792),"$ 2,574,960","$ 986,110","$ 1,250,000","$ 380,000"
