Rank,-,Artist,TotalPrice,-,TotalLots,-,MaxPrice,-
288,201,nArA Yoshitomo (1959),"4,550,733","3,390,193",108,80,"616,319","464,400"
289,,HUAnG Jin (1277-1357),"4,515,000",,1,,"4,515,000",
290,1575,GAndOLFI Gaetano (1734-1802),"4,506,506","333,692",8,8,"3,600,000","81,004"
291,814,sHI Chong (1963),"4,471,236","772,456",11,7,"3,418,110","440,100"
292,369,YAnG Feiyun (1954),"4,443,579","1,854,648",18,14,"865,530","374,085"
293,169,ArP Hans (1887-1966),"4,441,960","4,010,377",133,96,"1,200,000","1,063,342"
294,242,BUrLIUk david (1882-1967),"4,435,305","2,965,565",156,134,"350,000","250,000"
295,250,VALdÉs Manolo (1942),"4,432,639","2,871,775",26,34,"406,998","320,000"
296,,sHenG Mou (c.1313-c.1362),"4,342,344",,3,,"3,000,000",
297,183,BALdessArI John (1931),"4,327,154","3,753,789",53,29,"460,000","1,600,000"
298,1408,WAnG shimin (1592-1680),"4,326,989","388,113",23,5,"1,950,000","190,710"
299,1051,redOUtÉ Pierre-Joseph (1759-1840),"4,326,663","575,094",49,40,"345,862","150,000"
300,637,tIAn shiguang (1916-1999),"4,325,280","1,026,428",78,38,"995,279","190,710"
301,590,ZUrBArAn de Francisco (1598-1664),"4,296,767","1,135,050",3,1,"3,700,000","1,135,050"
302,790,CHen Peiqiu (1922/23),"4,292,666","800,498",98,58,"543,960","58,640"
303,125,stAËL de nicolas (1914-1955),"4,250,361","5,773,549",14,24,"1,268,720","1,540,440"
304,510,COndO George (1957),"4,225,433","1,353,122",44,31,"703,350","240,000"
305,454,rAUCH neo (1960),"4,210,924","1,486,667",25,14,"900,000","1,227,780"
306,141,LIeBerMAnn Max (1847-1935),"4,200,539","4,877,643",143,130,"447,328","570,342"
307,346,MOtHerWeLL robert (1915-1991),"4,193,055","1,996,473",123,118,"740,000","410,000"
308,211,Anker Albert (1831-1910),"4,187,200","3,271,083",55,26,"1,218,645","2,602,599"
309,398,VIeIrA dA sILVA Maria elena (1908-1992),"4,170,187","1,680,829",78,47,"1,124,976","599,502"
310,2141,Le LOrrAIn Claude (1600-1682),"4,167,790","224,878",21,14,"2,829,780","139,500"
311,155,ALBers Josef (1888-1976),"4,166,644","4,409,978",99,65,"560,000","360,000"
312,665,He Jiaying (1957),"4,129,909","972,681",41,21,"331,980","220,050"
313,89,HAssAM Childe (1859-1935),"4,123,800","8,861,760",37,25,"1,300,000","3,200,000"
314,587,rUYsdAeL van salomon (c.1602-1670),"4,106,872","1,143,108",5,4,"2,900,000","616,170"
315,2255,BOILLY Louis Léopold (1761-1845),"4,074,755","209,821",15,25,"4,000,000","100,000"
316,,sU shi (1037-1101),"4,061,568",,1,,"4,061,568",
317,584,MUBIn Orhon (1924-1981),"4,049,602","1,147,548",66,29,"770,667","226,640"
318,313,rOBert Hubert (1733-1808),"4,026,560","2,222,683",40,38,"1,666,125","588,285"
319,311,redOn Odilon (1840-1916),"4,010,675","2,224,735",43,31,"2,788,800","500,000"
320,118,sOULAGes Pierre (1919),"3,970,610","6,116,020",139,73,"354,612","1,091,181"
321,658,FLAnAGAn Barry (1941),"3,968,328","989,438",17,2,"946,308","679,438"
322,208,MUeLLer Otto (1874-1930),"3,943,133","3,314,760",39,43,"2,900,352","955,825"
323,540,sCHMIdt-rOttLUFF karl (1884-1976),"3,940,032","1,248,311",79,85,"1,700,000","158,814"
324,634,QI Gong (1912-2005),"3,929,090","1,036,834",54,36,"462,105","146,700"
325,628,WeI Zixi (1915-2002),"3,870,333","1,045,409",85,37,"733,500","263,700"
326,136,LI shan (1942),"3,857,253","5,222,507",19,21,"1,206,400","3,076,500"
327,490,ZeId Fahr-el-nissa (1901-1991),"3,851,996","1,414,214",33,11,"846,120","713,475"
328,498,kIM Whan ki (1913-1974),"3,846,201","1,385,370",14,13,"1,743,000","688,000"
329,265,BrUeGHeL Jan II (1601-1678),"3,845,045","2,623,176",14,15,"2,500,000","972,900"
330,90,rOerICH nicolaj konstantinov (1874-1947),"3,839,560","8,492,666",16,35,"972,304","1,584,695"
331,2034,BrACk John Cecil (1920-1999),"3,816,271","238,778",17,7,"1,568,880","149,625"
332,187,rOCkWeLL norman Perceval (1894-1978),"3,788,203","3,628,844",42,42,"910,000","625,000"
333,3507,dAVIs stuart (1894-1964),"3,777,051","114,140",16,11,"3,000,000","55,000"
334,3372,tArBeLL edmund Charles (1862-1938),"3,768,800","120,000",4,1,"3,700,000","120,000"
335,111,MAJOreLLe Jacques (1886-1962),"3,768,454","6,757,004",30,32,"477,215","917,455"
336,253,WHIteLeY Brett (1939-1992),"3,747,094","2,842,193",46,25,"1,137,235","940,680"
337,124,InGres Jean Auguste dominiqu (1780-1867),"3,735,734","5,845,989",16,12,"878,604","2,308,860"
338,200,LeWItt sol (1928-2007),"3,667,075","3,407,334",157,136,"320,000","400,000"
339,1390,BerCkHeYde Gerrit Adriaensz (1638-1698),"3,619,128","394,446",2,2,"3,615,830","377,936"
340,333,CÉsAr (1921-1998),"3,600,017","2,051,266",191,153,"334,296","194,987"
341,316,MAsrIAdI I nyoman (1973),"3,599,738","2,192,594",21,20,"541,380","387,000"
342,2068,LIU songnian (1155-1218),"3,570,219","234,400",6,1,"2,345,600","234,400"
343,8627,rYMAn robert (1930),"3,565,200","30,830",6,9,"3,000,000","6,493"
344,195,dOGAnÇAY Burhan Cahit (1929),"3,559,079","3,425,635",45,31,"501,830","1,498,297"
345,170,JIAnG Zhaohe (1904-1986),"3,548,773","4,005,538",28,22,"529,715","2,493,900"
346,,sOnG Maojin (1559-1622),"3,543,044",,2,,"3,532,049",
347,312,AkYAVAs erol (1932-1999),"3,529,143","2,222,834",26,30,"1,368,671","421,720"
348,1354,AnnenkOFF Jurij Pavlovic (1889/90-1974),"3,520,095","408,650",23,30,"2,240,835","93,681"
349,358,MAn rAY (1890-1976),"3,519,362","1,931,630",184,203,"1,733,160","418,470"
350,1152,YAn Wenliang (1893-1988),"3,473,339","506,038",27,17,"933,100","85,260"
351,497,serrA richard (1939),"3,468,886","1,386,579",44,27,"1,700,000","906,780"
352,674,UrY Lesser (1861-1931),"3,454,903","963,648",82,42,"560,000","177,175"
353,2460,JOLI de dIPI Antonio (c.1700-1777),"3,450,043","184,912",8,1,"1,893,000","184,912"
354,174,ernst rudolf (1854-1932),"3,444,223","3,955,605",15,16,"662,400","562,800"
355,190,kIsLInG Moïse (1891-1953),"3,413,199","3,563,062",62,70,"370,000","254,500"
356,880,MeHretU Julie (1970),"3,412,508","711,829",7,12,"2,000,000","329,700"
357,309,WU dayu (1903-1988),"3,394,817","2,248,874",13,9,"856,140","645,000"
358,235,CHrIstO (1935),"3,392,853","3,021,157",268,211,"172,523","160,000"
359,66,dUCHAMP Marcel (1887-1968),"3,363,165","11,269,388",37,36,"900,000","10,133,330"
360,315,COrIntH Lovis (1858-1925),"3,361,389","2,195,017",180,144,"1,112,775","510,264"
361,666,MILHAZes Beatriz (1960),"3,350,634","972,464",16,5,"678,195","387,720"
362,13202,LIeVens Jan (1607-1674),"3,342,025","15,117",4,6,"3,338,280","10,184"
363,714,CAMPendOnk Heinrich (1889-1957),"3,339,042","913,507",16,6,"2,151,360","906,685"
364,112,LALAnne François-Xavier (1927-2008),"3,326,766","6,718,687",37,84,"432,144","630,180"
365,712,CHU Ch'i-Chan (1892-1996),"3,306,692","917,530",121,86,"271,440","58,720"
366,324,JOrn Asger (1914-1973),"3,297,481","2,142,083",82,69,"461,755","224,985"
367,272,rOUAULt Georges (1871-1958),"3,293,058","2,588,645",185,141,"338,512","1,150,000"
368,,eL-GAZZAr Abdel Hadi (1925-1966),"3,277,234",,16,,"480,000",
369,1258,GOrkY Arshile (1904-1948),"3,272,315","451,877",10,8,"3,200,000","115,000"
370,11671,XU Wei (1521-1593),"3,265,458","19,058",11,3,"1,232,460","6,601"
371,1759,YUAn Jiang (1662-1735),"3,262,740","284,598",10,3,"1,953,899","264,060"
372,450,CHAdWICk Lynn russell (1914-2003),"3,260,963","1,492,317",106,33,"315,960","450,000"
373,248,CArr emily M. (1871-1945),"3,235,578","2,886,865",13,11,"619,645","1,635,400"
374,2330,HJertÉn sigrid (1885-1948),"3,234,647","199,350",15,8,"1,140,760","48,449"
375,472,LUCe Maximilien (1858-1941),"3,213,946","1,445,565",143,125,"900,000","335,570"
376,305,sMArt Frank Jeffrey edson (1921),"3,189,366","2,277,407",19,21,"697,280","605,665"
377,639,deLVAUX Paul (1897-1994),"3,180,336","1,023,449",112,122,"1,100,000","328,279"
378,602,ZHAnG shanzi (1882-1940),"3,180,155","1,099,766",106,65,"220,050","93,888"
379,8420,COZens John robert (1752-1799),"3,171,840","32,160",1,1,"3,171,840","32,160"
380,1037,CHen Zizhuang (1913-1976),"3,168,820","585,104",117,50,"340,170","82,152"
381,567,BeUYs Joseph (1921-1986),"3,157,703","1,187,382",314,209,"464,812","334,776"
382,921,ZHAO Wangyun (1906-1977),"3,142,353","671,735",15,24,"2,111,200","117,360"
383,285,tOYen (1902-1980),"3,134,993","2,454,721",17,19,"692,604","1,032,200"
384,,YUAn Qingyi (1960),"3,107,920",,1,,"3,107,920",
385,221,MÜnter Gabriele (1877-1962),"3,094,241","3,166,648",22,28,"393,315","600,000"
386,288,dÜrer Albrecht (1471-1528),"3,090,979","2,426,683",342,271,"301,440","423,016"
387,1065,BrUeGHeL Jan I (1568-1625),"3,086,020","558,900",5,4,"2,124,360","194,987"
388,397,BertOIA Harry (1915-1978),"3,058,961","1,682,605",75,80,"370,000","230,000"
389,159,GUArdI Francesco (1712-1793),"3,052,152","4,311,241",25,11,"637,308","2,594,400"
390,1046,GLeIZes Albert (1881-1953),"3,050,715","578,016",30,33,"2,364,640","110,000"
391,18,reMBrAndt VAn rIJn (1606-1669),"3,050,680","33,319,130",415,431,"187,212","29,577,600"
392,5757,LenG Mei (1677-c.1745),"3,004,558","57,348",4,2,"1,861,799","30,960"
393,503,GOrMLeY Antony (1950),"2,998,081","1,379,905",26,18,"460,000","297,360"
394,975,GUPtA subodh (1964),"2,972,907","627,486",10,6,"638,528","168,402"
395,6642,YI Jung sup (1916-1956),"2,954,800","46,460",1,2,"2,954,800","23,360"
396,769,LIsMer Arthur (1885-1969),"2,953,516","830,136",26,19,"882,360","405,832"
397,148,GÉrOMe Jean-Léon (1824-1904),"2,918,449","4,705,940",21,31,"1,250,000","1,584,695"
398,381,sHIrAGA kazuo (1924-2008),"2,911,175","1,765,015",47,29,"366,840","771,992"
399,162,FLAVIn dan (1933-1996),"2,909,987","4,250,242",19,17,"1,200,000","945,000"
400,229,WILLIAMs Frederick ronald (1927-1982),"2,894,253","3,065,705",28,23,"876,748","1,051,465"
401,149,sAInt-PHALLe de niki (1930-2002),"2,866,064","4,558,371",159,125,"463,420","661,144"
402,,YUAn Yunsheng (XX),"2,865,200",,1,,"2,865,200",
403,5360,LI Guijun (1964),"2,845,495","63,360",11,2,"615,820","44,010"
404,152,MArIesCHI Michele Giovanni (1696/1710-1743),"2,829,307","4,490,331",10,9,"2,120,160","3,084,080"
405,271,HArtLeY Marsden (1877-1943),"2,823,656","2,595,050",11,7,"1,500,000","1,800,000"
406,8537,LIndner richard (1901-1978),"2,817,241","31,401",43,19,"850,000","7,261"
407,31,WU Bin (c.1568-1621),"2,790,063","22,151,700",5,1,"2,709,000","22,151,700"
408,275,WAnG Huaiqing (1944),"2,783,545","2,553,705",5,8,"1,533,603","1,166,980"
409,207,WALde Alfons (1891-1958),"2,782,027","3,322,429",26,32,"279,160","584,961"
410,417,sUGIMOtO Hiroshi (1948),"2,773,364","1,609,992",98,107,"300,000","75,000"
411,244,CAssAtt Mary (1844-1926),"2,763,886","2,939,635",49,33,"750,000","2,100,000"
412,476,WALdMÜLLer Ferdinand Georg (1793-1865),"2,746,342","1,429,830",12,6,"501,300","617,820"
413,1199,XU Gu (1823/24-1896),"2,746,006","481,745",28,15,"676,350","176,040"
414,479,COrneLL Joseph (1903-1972),"2,744,310","1,427,444",23,15,"1,600,000","380,000"
415,2285,CHen Yanning (1945),"2,741,569","206,109",10,5,"633,360","88,020"
416,7481,JACksOn Matthew day (1974),"2,736,595","38,700",12,3,"783,050","15,000"
417,467,POMOdOrO Arnaldo (1926),"2,727,476","1,449,210",60,60,"459,952","252,810"
418,438,PetrOV-VOdkIn kuzma sergievitch (1878-1939),"2,721,695","1,521,273",6,2,"2,315,520","1,471,230"
419,499,MOsHIrI Farhad (1963),"2,714,814","1,385,366",14,10,"650,000","533,115"
420,282,AFFAndI (1907-1990),"2,711,322","2,512,289",34,34,"348,029","283,800"
421,395,GIACOMettI Augusto (1877-1947),"2,706,079","1,685,815",25,34,"541,620","1,075,940"
422,415,BOnALUMI Agostino (1935),"2,698,982","1,613,488",56,44,"289,007","173,988"
423,1650,LAWrenCe thomas (1769-1830),"2,670,749","313,059",9,7,"2,436,755","190,000"
424,326,GILBert & GeOrGe (1942/43),"2,663,978","2,112,653",32,18,"438,508","750,000"
425,449,FrAnkentHALer Helen (1928),"2,644,411","1,495,870",39,40,"350,000","480,000"
426,367,sArGent John singer (1856-1925),"2,640,506","1,877,531",13,17,"1,400,000","840,000"
427,809,rYsseLBerGHe van théo (1862-1926),"2,637,768","777,649",21,20,"1,035,839","330,000"
428,463,MUnIZ Vik (1961),"2,621,978","1,462,204",78,42,"210,000","220,000"
429,845,dIX Otto (1891-1969),"2,617,001","738,908",142,84,"679,834","116,200"
430,,PAssArOttI Bartolomeo (1529-1592),"2,613,874",,3,,"2,593,860",
431,456,reMInGtOn Frederic sackrider (1861-1909),"2,612,547","1,480,156",30,22,"900,000","400,000"
432,1733,MAO Xuhui (1956),"2,606,726","291,570",22,8,"1,288,999","80,850"
433,179,MArtIn Henri Jean Guillaume (1860-1943),"2,574,678","3,822,862",25,27,"601,996","675,885"
434,651,XIAnG Jing (1968),"2,566,217","1,003,753",26,20,"820,960","270,900"
435,2980,MOrALes de Luis (c.1509-1586),"2,540,128","140,040",2,1,"2,206,960","140,040"
436,198,JIn shangyi (1934),"2,534,818","3,418,110",7,4,"1,056,240","2,647,935"
437,410,ULUÇ Ömer (1931-2010),"2,529,103","1,630,801",43,21,"235,687","397,837"
438,969,dInG Yi (1962),"2,528,503","631,557",18,13,"902,299","187,648"
439,357,drYsdALe russell (1912-1981),"2,522,100","1,936,459",18,28,"1,038,345","535,037"
440,919,PAnInI Giovanni Paolo (1691-1765),"2,519,981","672,061",9,6,"1,000,000","434,124"
441,716,FenG Zikai (1898-1975),"2,513,361","910,774",100,71,"375,750","55,708"
442,8271,OstAde van Isaac Jansz. (1621-1649),"2,508,131","33,052",5,4,"2,427,840","29,098"
443,14786,BOnteCOU Lee (1931),"2,500,150","12,450",10,4,"1,600,000","8,500"
444,501,Ye Yongqing (1958),"2,493,092","1,384,066",34,31,"469,440","162,024"
445,3452,dOnG Bangda (1699-1769),"2,491,632","116,528",17,9,"1,082,160","29,300"
446,481,HUndertWAsser Friedensreich (1928-2000),"2,490,079","1,425,308",246,170,"293,139","326,612"
447,406,GUnAWAn Hendra (1918-1983),"2,489,931","1,640,048",18,13,"567,160","209,281"
448,238,CrAnACH Lucas I (1472-1553),"2,469,812","3,002,532",46,13,"720,000","1,500,000"
449,453,dOrAZIO Piero (1927-2005),"2,467,736","1,489,115",125,144,"312,440","105,022"
450,227,rUBIn reuven (1893-1974),"2,461,012","3,074,188",57,47,"180,000","434,500"
451,1203,Andre Carl (1935),"2,455,075","479,963",20,8,"1,200,000","200,000"
452,1283,YA Ming (1924-2002),"2,454,861","443,405",145,48,"143,766","55,746"
453,3299,nAdA Hamed (1924),"2,454,647","123,000",18,3,"500,000","75,000"
454,1473,GAO Qifeng (1889-1933),"2,449,214","364,350",17,8,"904,799","154,800"
455,153,GrIGOrJeFF Boris dimitrevitch (1886-1939),"2,448,598","4,467,071",15,13,"795,960","1,150,000"
456,343,VALtAt Louis (1869-1952),"2,441,765","2,016,331",100,83,"210,000","140,000"
457,,dU Jin (XV-XVI),"2,433,197",,2,,"2,418,900",
458,1838,tHOrBUrn Archibald (1860-1935),"2,408,538","267,121",99,33,"265,878","59,493"
459,387,neeL Alice (1900-1984),"2,403,791","1,739,700",8,6,"650,000","1,400,000"
460,2549,BrOWn Glenn (1966),"2,398,527","175,440",3,3,"1,883,875","174,240"
461,558,LI Chen (1963),"2,393,284","1,203,875",19,16,"309,944","309,600"
462,393,ZHAnG Zongcang (1686-1756),"2,392,015","1,695,389",15,6,"721,440","1,056,240"
463,57,tOULOUse-LAUtreC de Henri (1864-1901),"2,387,395","12,806,814",206,219,"310,000","7,850,150"
464,726,sPenCer stanley (1891-1959),"2,382,413","898,163",17,9,"1,958,952","618,344"
465,3951,XIAnG shengmo (1597-1658),"2,380,068","96,432",12,3,"952,900","51,310"
466,,PArk david (1911-1960),"2,380,000",,6,,"1,400,000",
467,2303,JIA Youfu (1942),"2,375,128","203,521",40,21,"256,530","70,416"
468,511,deLACrOIX eugène (1798-1863),"2,372,810","1,347,317",112,47,"928,340","576,310"
469,392,ZHAn Wang (1962),"2,367,302","1,697,517",11,15,"683,169","412,800"
470,691,FenG Chaoran (1882-1954),"2,361,632","945,041",86,64,"399,589","249,390"
471,1542,LIU Jiyou (1918-1983),"2,352,436","343,909",69,28,"422,240","58,680"
472,630,WAnG Mingming (1952),"2,339,273","1,039,581",63,35,"377,250","374,085"
473,,XIAO Yuncong (1596-1673),"2,332,803",,4,,"2,254,500",
474,,GIrAULt de PrAnGeY Joseph Philibert (1804-1892),"2,324,000",,57,,"200,000",
475,,YU Youhan (1943),"2,317,513",,5,,"708,949",
476,922,HUAnG shen (1687-c.1770),"2,312,376","671,490",34,21,"733,000","131,940"
477,413,JACksOn Alexander Young (1882-1974),"2,298,908","1,620,148",52,48,"266,924","429,705"
478,770,CHILLIdA eduardo (1924-2002),"2,296,985","828,936",145,131,"1,359,114","112,632"
479,360,PeCHsteIn Hermann Max (1881-1955),"2,294,412","1,921,617",98,88,"325,138","514,692"
480,2238,HUAnG shanshou (1855-1919),"2,252,779","211,448",59,18,"1,350,000","55,746"
481,464,reYLe Anselm (1970),"2,234,416","1,459,155",22,23,"346,633","220,218"
482,549,MAPPLetHOrPe robert (1946-1989),"2,233,119","1,215,442",120,80,"270,000","100,000"
483,1694,LI shan (1686-1762),"2,221,097","301,386",29,11,"439,800","176,040"
484,341,GOdWArd John William (1861-1922),"2,220,937","2,023,479",9,16,"620,000","560,000"
485,337,CHAMBerLAIn John Angus (1927),"2,217,889","2,046,762",14,11,"600,000","750,000"
486,365,seVerInI Gino (1883-1966),"2,217,677","1,882,148",62,53,"827,617","355,410"
487,570,MeLOttI Fausto (1901-1986),"2,211,275","1,185,202",33,27,"214,567","242,325"
488,251,OLdenBUrG Claes thure (1929),"2,197,724","2,853,600",89,65,"800,000","1,900,000"
489,2668,sOnG Yugui (1940),"2,193,256","164,134",16,7,"829,950","48,411"
490,386,CAMArGO de sergio (1930-1990),"2,191,389","1,744,781",8,4,"700,000","1,350,000"
491,414,CAMPIGLI Massimo (1895-1971),"2,183,865","1,613,689",43,47,"319,040","389,974"
492,938,MOreLLet François (1926),"2,168,203","656,832",64,36,"490,680","56,475"
493,349,GrIMsHAW John Atkinson (1836-1893),"2,160,989","1,975,796",11,8,"380,000","537,966"
494,568,LIU danzhai (1931),"2,151,249","1,186,331",85,66,"140,505","139,175"
495,1651,WAnG Xijing (1946),"2,146,588","312,996",43,28,"1,204,000","61,614"
496,1108,Ye Qianyu (1907-1995),"2,141,756","535,686",73,45,"399,620","95,355"
497,535,HILL Carl Fredrik (1849-1911),"2,134,425","1,270,182",29,14,"1,177,600","1,012,920"
498,370,GOttLIeB Adolph (1903-1974),"2,133,800","1,851,508",32,31,"380,000","1,100,000"
499,942,JIAnG Hanting (1903/04-1963),"2,127,973","652,839",94,58,"232,810","74,817"
500,110,GOYA Y LUCIentes Francisco (1746-1828),"2,119,879","6,903,479",165,160,"1,135,800","3,729,450"
