A,B,C,D,E,F,G,H
284,547 YU Fei'an (1888-1959),"2,397,586","1,865,978",46,44,"528,120","442,990"
285,1203 REN Yi (1840-1896),"2,391,590","699,700",64,29,"337,410","83,330"
286,154 CAI Guoqiang (1957),"2,386,595","7,706,466",21,53,"893,970","1,930,500"
287,2007 SONG Wenzhi (1919-1999),"2,379,646",",364,050",104,46,"190,710","28,247"
288,534 LIPCHITZ Jacques (1891-1973),"2,378,031","1,922,683",21,24,"522,784","688,940"
289,965 WILLIAMS Frederick Ronald (1927-1982),"2,371,839","946,936",17,8,"1,051,465","291,458"
290,517 COURBET Gustave (1819-1877),"2,370,199","1,965,459",24,21,"480,000","899,398"
291,179 MARTIN Agnes Bernice (1912-2004),"2,365,100","6,899,947",8,12,"1,100,000","2,500,000"
292,570 SUCHAEV Vasilij Ivanovic (1887-1973),"2,332,916","1,762,418",12,7,"962,940","808,192"
293,147 SOUZA Francis Newton (1924-2002),"2,331,233","7,902,727",46,62,"551,041","2,159,850"
294,5023 TER BORCH Gerard (1617-1681),"2,323,150","95,867",4,2,"1,350,000","83,867"
295,572 CARRINGTON Leonora (1917),"2,318,820","1,754,408",20,35,"1,250,000","600,000"
296,2433 FISCHL Eric (1948),"2,308,095","281,191",14,10,"1,600,000","190,000"
297,627 CARREÑO Mario (1913-2000),"2,305,312","1,574,158",7,13,"1,880,000","445,000"
298,325 VEDOVA Emilio (1919-2006),"2,294,899","3,463,868",65,69,"500,805","993,321"
299,1239 HEDA Willem Claesz. (1594-1680/82),"2,271,456","670,903",3,3,"1,947,840","333,892"
300,1396 CUI Ruzhuo (1944),"2,259,056","577,450",7,2,"516,000","357,250"
301,1229 WU Dayu (1903-1988),"2,248,874","675,590",9,5,"645,000","231,660"
302,569 ZHU Yuanzhi (1906-1963),"2,228,782","1,764,760",19,11,"645,500","619,200"
303,189 REDON Odilon (1840-1916),"2,223,611","6,640,683",30,55,"500,000","3,548,340"
304,952 HE Haixia (1908-1998),"2,219,424","967,026",67,31,"388,755","357,250"
305,1553 AKYAVAS Erol (1932-1999),"2,197,920","505,496",29,10,"421,720","250,920"
306,245 MARDEN Brice (1938),"2,177,290","5,024,011",25,21,"1,750,000","3,800,000"
307,3872 BALTHUS  (1908-2001),"2,176,590","142,186",20,18,"750,000","59,139"
308,182 DINET Etienne Alphonse (1861-1929),"2,174,759","6,875,876",13,28,"1,084,265","2,185,680"
309,2649 ZHAO Zhiqian (1829-1884),"2,165,738","249,596",19,6,"490,580","173,640"
310,673 HOFER Carl (1878-1955),"2,152,165","1,430,678",79,82,"419,972","161,325"
311,429 GONZALEZ Julio (1876-1942),"2,148,338","2,489,553",36,26,"749,950","923,879"
312,229 IACOVLEFF Alexander Evgenevich (1887-1938),"2,147,664","5,467,559",31,73,"724,059","895,800"
313,206 JORN Asger (1914-1973),"2,142,083","6,137,521",69,92,"224,985","979,199"
314,600 CATTELAN Maurizio (1960),"2,140,629","1,661,431",15,11,"675,885","638,528"
315,921 LI Kuchan (1899-1983),"2,138,537","1,014,263",114,63,"96,822","74,868"
316,594 ROBERT Hubert (1733-1808),"2,117,614","1,684,014",37,31,"588,285","235,455"
317,150 GILBERT & GEORGE  (1942/43),"2,112,653","7,813,281",18,31,"750,000","3,292,410"
318,655 MAGNELLI Alberto (1888-1971),"2,105,034","1,493,928",30,28,"524,965","687,995"
319,513 PISTOLETTO Michelangelo (1933),"2,085,926","2,005,752",45,63,"452,340","588,166"
320,369 AMIET Cuno (1868-1961),"2,074,801","2,967,550",134,130,"430,376","478,268"
321,142 MASRIADI I Nyoman (1973),"2,070,574","8,103,153",20,67,"387,000","836,550"
322,8687 SHARAKU Toshusai (act.c.1794),"2,060,125","41,078",15,2,"477,792","40,983"
323,262 CÉSAR  (1921-1998),"2,059,891","4,597,505",153,178,"194,987","397,008"
324,581 BURNE-JONES Edward Coley (1833-1898),"2,051,091","1,716,811",19,20,"1,180,084","744,306"
325,285 AFRO  (1912-1976),"2,050,920","4,072,761",29,39,"500,805","859,356"
326,280 KELLY Ellsworth (1923),"2,049,451","4,134,697",61,76,"820,000","1,600,000"
327,475 GUERCINO  (1591-1666),"2,046,797","2,183,969",13,17,"569,962","1,054,476"
328,258 CHAMBERLAIN John Angus (1927),"2,046,762","4,751,722",11,24,"750,000","1,000,000"
329,326 LE SIDANER Henri (1862-1939),"2,036,111","3,455,303",29,35,"571,795","850,000"
330,276 BROWN Cecily (1969),"2,031,500","4,281,072",8,17,"1,000,000","1,093,400"
331,558 GODWARD John William (1861-1922),"2,023,479","1,812,753",16,7,"560,000","320,000"
332,274 VALTAT Louis (1869-1952),"2,015,961","4,307,924",83,130,"140,000","966,642"
333,545 PISIS de Filippo (1896-1956),"2,015,077","1,878,807",68,55,"149,990","170,786"
334,2 BACON Francis (1909-1992),"1,999,197","256,209,429",72,101,"1,222,480","77,000,000"
335,398 SIRONI Mario (1885-1961),"1,999,092","2,692,019",72,76,"519,665","513,520"
336,184 MOTHERWELL Robert (1915-1991),"1,996,473","6,850,339",118,132,"410,000","2,300,000"
337,493 LOISEAU Gustave (1865-1935),"1,993,300","2,112,801",28,34,"240,000","221,237"
338,181 HOFMANN Hans (1880-1966),"1,983,684","6,890,553",18,22,"1,000,000","3,800,000"
339,432 GRIMSHAW John Atkinson (1836-1893),"1,975,796","2,464,149",8,13,"537,966","588,120"
340,64 LIU Xiaodong (1963),"1,972,440","17,083,736",6,15,"894,870","7,287,900"
341,88 STERN Irma (1894-1966),"1,964,789","12,759,360",38,79,"625,625","635,648"
342,356 LARSSON Carl Olof (1853-1919),"1,962,654","3,115,936",29,41,"583,835","1,439,900"
343,8165 LI Shida (1550-1660),"1,949,810","45,947",2,3,"1,905,800","32,250"
344,663 METZINGER Jean (1883-1956),"1,938,923","1,450,695",14,18,"600,000","350,000"
345,6635 LANDSEER Edwin Henry (1802-1873),"1,931,108","62,593",9,8,"1,309,440","25,451"
346,253 MAN RAY  (1890-1976),"1,927,031","4,898,385",199,179,"418,470","1,084,215"
347,77 INDIANA Robert (1928),"1,915,698","15,069,582",124,194,"760,000","2,500,000"
348,2212 LOCATELLI Andrea (1695-c.1741),"1,913,115","317,755",4,7,"1,864,725","61,774"
349,422 LE MAYEUR DE MERPRES Adrien Jean (1880-1958),"1,909,993","2,522,698",25,18,"573,360","572,021"
350,41 SEVERINI Gino (1883-1966),"1,882,148","28,876,904",53,57,"355,410","26,395,800"
351,503 SARGENT John Singer (1856-1925),"1,877,531","2,038,220",17,16,"840,000","997,000"
352,234 LANSKOY André (1902-1976),"1,871,980","5,311,788",107,202,"132,450","220,752"
353,508 ZADKINE Ossip (1890-1967),"1,871,947","2,010,989",51,67,"539,964","373,483"
354,401 YANG Feiyun (1954),"1,854,648","2,662,370",14,10,"374,085","735,630"
355,139 GOTTLIEB Adolph (1903-1974),"1,851,508","8,187,248",31,31,"1100,000","5,800,000"
356,528 FASSIANOS Alexandre (1935),"1,834,769","1934,217",117,102,"158,088","254,098"
357,238 MUNNINGS Alfred James (1878-1959),"1,831,598","5,169,024",31,28,"406,800","1,538,784"
358,102 CAILLEBOTTE Gustave (1848-1894),"1,826,397","11,203,680",7,7,"525,760","7,500,000"
359,137 POLKE Sigmar (1941),"1,822,551","8,211,782",63,113,"800,000","1,812,768"
360,496 WEN Zhengming (1470-1559),"1,820,105","2,087,839",21,15,"476,775","748,200"
361,294 PIERNEEF Jacob Hendrik (1886-1957),"1,796,342","3,897,743",67,74,"381,920","1,267,272"
362,718 WHITELEY Brett (1939-1992),"1,795,327","1,337,790",16,13,"671,520","522,390"
363,254 CHIPARUS Dimitri (1886-1947),"1,788,594","4,891,105",82,114,"178,332","317,120"
364,ROEDIG Johannes Christian (1750-1802),"1,786,135",,2,,"1,718,640",
365,520 LE CORBUSIER  (1887-1965),"1,783,382","1,953,822",60,71,"899,940","827,946"
366,4055 LEIGHTON Frederick (1830-1896),"1,776,708","133,211",12,4,"1,600,000","97,935"
367,249 SHIRAGA Kazuo (1924-2008),"1,765,015","4,967,950",29,51,"771,992","977,616"
368,694 KIM Tschang-Yeul (1929),"1,763,720","1,390,703",18,25,"737,300","444,213"
369,79 GUSTON Philip (1913-1980),"1,746,102","14,711,623",11,24,"895,000","9,000,000"
370,919 CAMARGO de Sergio (1930-1990),"1,744,781","1,016,753",4,8,"1,350,000","240,000"
371,553 NEEL Alice (1900-1984),"1,739,700","1,825,700",6,8,"1,400,000","580,000"
372,652 KATZ Alex (1927),"1,737,792","1,497,532",81,91,"344,977","300,000"
373,190 DAVID Jacques Louis (1748-1825),"1,736,289","6,615,838",6,7,"891,825","6,400,000"
374,192 MACKE August (1887-1914),"1,725,165","6,566,174",15,12,"650,513","2,727,725"
375,313 EXTER Alexandra (1882-1949),"1,725,146","3,650,948",10,17,"1,501,290","1,163,008"
376,352 ZHAN Wang (1962),"1,697,517","3,135,897",15,24,"412,800","498,500"
377,740 HENRI Robert (1865-1929),"1,695,625","1,280,675",13,21,"1,300,000","700,000"
378,1655 ZHANG Zongcang (1686-1756),"1,695,389","465,252",6,4,"1,056,240","274,930"
379,277 UFER Walter (1876-1936),"1,690,000","4,221,000",4,6,"945,000","1,300,000"
380,647 GIACOMETTI Augusto (1877-1947),"1,685,815","1,525,487",34,22,"1,075,940","783,838"
381,1278 CONSTABLE John (1776-1837),"1,684,090","641,852",12,16,"895,000","195,870"
382,1180 BERTOIA Harry (1915-1978),"1,682,605","722,920",80,35,"230,000","85,000"
383,409 VIEIRA DA SILVA Maria Elena (1908-1992),"1,680,023","2,623,702",46,49,"599,502","707,130"
384,1235 GUAN Shanyue (1912-2000),"1,668,249","672,883",57,31,"280,197","85,680"
385,557 GHIKA Nikos Hadjikyriakos (1906-1994),"1,665,960","1,815,905",25,24,"411,183","254,098"
386,453 KOLLWITZ Käthe (1867-1945),"1,656,097","2,324,437",194,197,"297,184","217,364"
387,464 ZORN Anders Leonard (1860-1920),"1,653,050","2,275,180",127,136,"440,400","1,063,680"
388,483 SARIAN Martiros Sergeevich (1880-1972),"1,651,940","2,164,317",10,17,"342,720","587,280"
389,4658 LIOTARD Jean Étienne (1702-1789),"1,648,483","108,339",13,1,"892,760","108,339"
390,130 PECHSTEIN Hermann Max (1881-1955),"1,643,610","8,478,827",83,138,"514,692","3,351,210"
391,292 TORRES GARCIA Joaquin (1874-1949),"1,643,023","3,934,704",14,32,"520,000","1,500,000"
392,40382 LE SUEUR Eustache (1617-1655),"1,641,122","1,400",3,1,"1,596,545","1,400"
393,461 GUNAWAN Hendra (1918-1983),"1,640,048","2,296,244",13,18,"209,281","641,000"
394,465 BOGDANOV-BELSKY Nikolai Petrovich (1868-1945),"1,638,015","2,260,527",19,20,"471,859","293,640"
395,EVERDINGEN van Cesar Boetius (1617-1678),"1,636,800",,1,,"1,636,800",
396,1948 ULUÇ Ömer (1931),"1,630,801","375,378",21,23,"397,837","50,184"
397,1578 SPILLIAERT Léon (1881-1946),"1,628,445","494,783",35,20,"369,950","105,645"
398,METSU Gabriel (1629-1667),"1,621,500",,1,,"1,621,500",
399,486 BONALUMI Agostino (1935),"1,613,488","2,155,600",44,58,"173,988","242,186"
400,415 CAMPIGLI Massimo (1895-1971),"1,611,487","2,589,563",44,62,"389,974","326,046"
401,GENTILE DA FABRIANO  (c.1370-1427),"1,610,000",,4,,"450,000",
402,214 SUGIMOTO Hiroshi (1948),"1,607,725","5,881,049",106,106,"75,000","1,077,516"
403,1040 HEEM de Jan Davidsz (1606-1683/84),"1,605,327","857,896",4,2,"731,224","700,000"
404,505 KOUNELLIS Jannis (1936),"1,604,340","2,025,383",19,31,"549,270","1,072,538"
405,1422 TOYEN  (1902-1980),"1,595,935","565,147",9,13,"1,032,200","316,690"
406,4274 LE MOYNE François (1688-1737),"1,589,152","122,850",2,7,"1,533,620","90,000"
407,67 BOURGEOIS Louise (1911),"1,585,761","16,953,260",33,38,"544,005","4,020,840"
408,1529 HÉLION Jean (1904-1987),"1,583,490","516,619",87,53,"262,482","94,622"
409,1019 BLACKMAN Charles (1928),"1,576,494","879,605",53,46,"558,300","299,232"
410,341 JACKSON Alexander Young (1882-1974),"1,573,007","3,256,706",43,55,"429,705","529,515"
411,299 FRINK Elizabeth (1930-1993),"1,570,678","3,850,261",53,85,"483,749","371,051"
412,1159 LI Xiongcai (1910-2001),"1,570,467","735,750",77,33,"127,629","293,600"
413,4110 SHI Qi (1939),"1,566,965","130,175",13,17,"763,360","45,728"
414,497 DONG Qichang (1555-1636),"1,561,135","2,085,116",12,17,"601,470","407,680"
415,289 ROTELLA Mimmo (1918-2006),"1,561,020","3,990,533",105,150,"161,550","380,578"
416,215 SHERMAN Cindy (1954),"1,556,166","5,808,079",52,69,"280,000","828,091"
417,4509 DEUTSCH Ludwig (1855-1935),"1,554,913","113,471",7,4,"567,154","43,868"
418,530 PASINI Alberto (1826-1899),"1,553,584","1,929,939",7,10,"643,200","945,000"
419,35313 POUGHÉON Eugène Robert (1886-1955),"1,552,015","2,165",1,1,"1,552,015","2,165"
420,948 STEEN Jan Havicksz. (1625/26-1679),"1,544,994","972,950",3,5,"895,000","400,000"
421,203 ADAMS Ansel Easton (1902-1984),"1,543,447","6,180,839",114,248,"300,000","400,000"
422,390 HENRY Paul (1876-1958),"1,541,306","2,832,882",16,26,"368,994","274,764"
423,2029 SMART Frank Jeffrey Edson (1921),"1,537,803","358,945",8,2,"605,665","327,285"
424,860 RUBENS Peter Paul (1577-1640),"1,537,443","1,096,062",7,5,"700,000","434,214"
425,674 SUTHERLAND Graham Vivian (1903-1980),"1,532,429","1,430,495",107,56,"668,480","527,283"
426,38985 BOL Ferdinand (1616-1680),"1,529,343","1,567",10,1,"1,472,310","1,567"
427,PETROV-VODKIN Kuzma Sergievitch (1878-1939),"1,521,273",,2,,"1,471,230",
428,412 SCOTT William (1913-1989),"1,513,517","2,603,037",32,40,"354,683","1,796,668"
429,636 TCHELITCHEW Pavel (1898-1957),"1,510,801","1,547,373",27,28,"370,000","453,399"
430,3585 BAROCCI Federico (1526/35-1612),"1,507,352","160,000",2,1,"1,500,000","160,000"
431,10095 HERGÉ  (1907-1983),"1,504,666","32,073",73,8,"400,179","18,025"
432,567 LEBASQUE Henri Baptiste (1865-1937),"1,501,953","1,765,152",52,67,"288,660","270,000"
433,672 BAI Xueshi (1915),"1,500,721","1,430,737",51,29,"161,370","502,600"
434,288 TIZIANO VECELLIO  (1485/89-1576),"1,500,000","4,000,000",1,1,"1,500,000","4,000,000"
435,337 FRANKENTHALER Helen (1928),"1,494,971","3,292,237",39,47,"480,000","650,000"
436,308 CHADWICK Lynn Russell (1914-2003),"1,492,317","3,741,843",33,77,"450,000","659,256"
437,468 PALADINO Mimmo (1948),"1,489,312","2,217,365",59,94,"177,705","238,560"
438,373 MANGOLD Robert (1937),"1,488,546","2,948,730",27,30,"610,000","800,000"
439,340 DORAZIO Piero (1927-2005),"1,483,931","3,274,828",142,162,"105,022","268,056"
440,370 HUANG Gang (1961),"1,482,918","2,967,512",31,40,"249,390","300,000"
441,1976 RAUCH Neo (1960),"1,480,715","369,793",11,15,"1,227,780","129,220"
442,50 REMINGTON Frederic Sackrider (1861-1909),"1,480,156","23,159,505",22,51,"400,000","5,000,000"
443,2657 BLES Herri met de (1485/90-c.1560),"1,478,880","248,601",1,2,"1,478,880","163,332"
444,575 COMBAS Robert (1957),"1,476,126","1,739,451",133,149,"78,240","110,539"
445,SUN Zixi (1929),"1,474,335",,1,,"1,474,335",
446,1769 WU Li (1632-1718),"1,472,347","427,427",5,6,"1,025,499","307,680"
447,846 RICHIER Germaine (1904-1959),"1,467,936","1,109,171",7,16,"700,000","558,180"
448,WANG Shikuo (1911-1973),"1,467,000",,1,,"1,467,000",
449,374 MUNIZ Vik (1961),"1,462,204","2,947,431",42,59,"220,000","139,545"
450,894 BRIDGMAN Frederic Arthur (1847-1928),"1,461,044","1,047,092",17,20,"1,084,265","233,655"
451,252 REYLE Anselm (1970),"1,459,155","4,906,731",23,32,"220,218","512,304"
452,2140 KISHIDA Ryusei (1891-1929),"1,454,995","333,983",5,3,"1,420,200","233,000"
453,POST Frans Jansz. (1612-1680),"1,450,000",,1,,"1,450,000",
454,406 POMODORO Arnaldo (1926),"1,449,210","2,641,310",60,65,"252,810","449,774"
455,378 KAWARA On (1932),"1,449,091","2,914,117",11,8,"320,000","1,800,000"
456,1514 MORISOT Berthe (1841-1895),"1,448,349","522,715",14,13,"700,000","480,000"
457,3593 HONG Ren (1610-1663),"1,446,949","159,170",2,1,"1,436,680","159,170"
458,376 LUCE Maximilien (1858-1941),"1,440,583","2,924,245",122,189,"335,570","1,300,479"
459,ZHENG Yue (XVII),"1,436,680",,1,,"1,436,680",
460,1155 NITTIS de Giuseppe (1846-1884),"1,436,558","739,256",10,11,"1,150,000","576,349"
461,821 EGGER-LIENZ Albin (1868-1926),"1,435,999","1,150,172",11,7,"493,980","739,347"
462,555 HECKEL Erich (1883-1970),"1,434,956","1,820,853",126,134,"239,032","749,094"
463,484 WALDMULLER Ferdinand Georg (1793-1865),"1,429,830","2,160,244",6,5,"617,820","1,655,955"
464,1817 PORTER Fairfi eld (1907-1975),"1,427,950","412,250",13,9,"490,000","350,000"
465,218 CORNELL Joseph (1903-1972),"1,427,444","5,709,000",15,14,"380,000","3,300,000"
466,628 LINDSTRÖM Bengt (1925-2008),"1,426,644","1,573,952",211,169,"39,703","72,716"
467,381 POLENOV Vasili Dimitrevich (1844-1927),"1,425,879","2,895,245",7,8,"738,866","1,343,700"
468,532 FAUTRIER Jean (1898-1964),"1,423,284","1,925,691",56,78,"430,534","388,150"
469,2996 HOOCH de Pieter (1629-1684),"1,422,000","210,000",2,1,"1,400,000","210,000"
470,269 LIU Wei (1965),"1,420,367","4,473,401",11,45,",587,694","490,200"
471,523 SAVINIO Alberto (1891-1952),"1,419,302","1,943,100",5,10,"719,952","776,300"
472,1073 LI Songsong (1973),"1,416,420","815,834",5,4,"581,580","308,880"
473,2895 ZEID Fahr-el-Nissa (1901-1991),"1,414,214","220,353",11,18,"713,475","47,232"
474,298 LOUIS Morris (1912-1962),"1,413,500","3,855,000",6,6,"600,000","1,800,000"
475,411 LHOTE André (1885-1962),"1,413,243","2,611,660",68,98,"181,337","295,515"
476,678 HUNDERTWASSER Friedensreich (1928-2000),"1,411,793","1,428,027",164,179,"326,612","236,565"
477,977 GEN PAUL  (1895-1975),"1,404,682","930,241",252,160,"142,595","220,346"
478,893 CHEN Danqing (1953),"1,403,786","1,047,661",16,12,"410,760","335,400"
479,1795 FRISHMUTH Harriet Whitney (1880-1980),"1,403,000","418,850",10,18,"800,000","220,000"
480,8811 ZOU Yigui (1686-1772),"1,400,198","40,203",7,3,"1,333,150","17,628"
481,116 BASELITZ Georg (1938),"1,394,286","9,997,474",72,77,"294,696","4,100,000"
482,679 SPITZWEG Carl (1808-1885),"1,393,315","1,425,146",38,54,"296,388","157,800"
483,355 SERRA Richard (1939),"1,386,579","3,120,518",27,29,"906,780","1,400,000"
484,480 KIM Whan Ki (1913-1974),"1,385,370","2,169,421",13,12,"688,000","700,000"
485,361 MOSHIRI Farhad (1963),"1,385,366","3,041,199",10,7,"533,115","900,000"
486,312 YE Yongqing (1958),"1,384,066","3,659,835",31,54,"162,024","243,580"
487,160 GORMLEY Antony (1950),"1,379,905","7,605,628",18,18,"297,360","4,026,870"
488,892 GUILLAUMIN Armand (1841-1927),"1,379,764","1,047,892",43,39,"100,000","139,475"
489,293 PENN Irving (1917-2009),"1,378,799","3,920,434",52,76,"172,488","440,000"
490,400 HERBIN Auguste (1882-1960),"1,375,989","2,665,525",43,39,"221,970","492,525"
491,867 PAIK Nam June (1932-2006),"1,375,535","1,086,891",42,35,"283,800","173,313"
492,537 ALECHINSKY Pierre (1927),"1,367,532","1,914,262",171,173,"379,960","166,140"
493,1147 PRENDERGAST Maurice Brazil (1858-1924),"1,358,500","748,000",4,7,"840,000","240,000"
494,1784 SELIM Turan (1915-1994),"1,355,010","424,575",42,16,"397,837","131,155"
495,791 SCHWITTERS Kurt (1887-1948),"1,352,442","1,197,091",16,13,"294,066","253,976"
496,574 DELACROIX Eugène (1798-1863),"1,347,317","1,751,265",47,46,"576,310","506,428"
497,3445 JENNEY Neil (1945),"1,343,131","170,150",7,5,"420,000","150,000"
498,317 CONDO George (1957),"1,342,492","3,600,175",29,42,"240,000","900,000"
499,588 CHEN Shaomei (1909-1954),"1,342,160","1,700,419",49,30,"146,700","543,160"
500,408 POKHITONOV Ivan Pavlovich (1851-1924),"1,336,678","2,624,939",11,31,"250,215","380,000"
